date,FCT_Bias_1@40
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,3.0090951492537372
2018-05-28,1.5505226480836243
2018-05-29,1.5776652194886607
2018-05-30,1.4586956521739158
2018-05-31,2.1835689907362306
2018-06-01,2.2212622990160833
2018-06-04,1.7297032131469219
2018-06-05,1.1047363281250004
2018-06-06,0.8242102724861309
2018-06-07,0.7845290385553955
2018-06-08,0.9050988045864883
2018-06-11,0.7386811023622046
2018-06-12,1.0707144598878402
2018-06-13,0.23075054651445234
2018-06-14,0.479796757803047
2018-06-15,0.3049853372433967
2018-06-19,-0.4229151200198008
2018-06-20,-0.10513265559137708
2018-06-21,-0.5896168108776246
2018-06-22,-0.7133468149646116
2018-06-25,-0.026999747665913797
2018-06-26,0.40581187866428947
2018-06-27,1.630914045082975
2018-06-28,2.099432519121631
2018-06-29,2.3641089108910895
2018-07-02,2.837366892545989
2018-07-03,2.9569918898992436
2018-07-04,2.155330438977331
2018-07-05,2.2390816071874178
2018-07-06,2.0214267708595934
2018-07-09,2.1438596491228123
2018-07-10,2.775515334338861
2018-07-11,2.99722712377111
2018-07-12,1.3670917116233452
2018-07-13,1.2170987038883336
2018-07-16,1.2779846115661406
2018-07-17,0.02482792527039735
2018-07-18,0.2607944732296994
2018-07-19,0.713013359722914
2018-07-20,1.408027579413934
2018-07-23,1.0880238036201315
2018-07-24,1.4775395610005135
2018-07-25,2.208879919273472
2018-07-26,2.1921319796954237
2018-07-27,2.4537966537966533
2018-07-30,2.726102941176465
2018-07-31,2.9733720010545808
2018-08-01,1.81715929897986
2018-08-02,1.7763679619349735
2018-08-03,2.6424856994279744
2018-08-06,3.0015392508978964
2018-08-07,4.623464527450491
2018-08-08,2.8705772811918053
2018-08-09,2.103460068142372
2018-08-10,1.3505198359879982
2018-08-13,1.512467782929974
2018-08-14,1.9644895309559163
2018-08-15,1.3060884800109334
2018-08-16,0.1352767642360371
2018-08-17,-0.05715239508476994
2018-08-20,-0.5657443350684412
2018-08-21,-0.19728259424820765
2018-08-22,0.44658464945467474
2018-08-23,0.6928469469780897
2018-08-24,0.9661405283221045
2018-08-27,0.8712383835311266
2018-08-28,0.9525083892790064
2018-08-29,0.6283699115498407
2018-08-30,1.7865637554184284
2018-08-31,1.8335836519488602
2018-09-03,1.5509391386867624
2018-09-04,1.7455685748019845
2018-09-05,1.4698357892447416
2018-09-06,1.3269123411041126
2018-09-07,0.9693966441239393
2018-09-10,1.5556959410384414
2018-09-11,1.4530636836781057
2018-09-12,2.3025270364202015
2018-09-13,1.965043204111974
2018-09-14,1.2374907870431815
2018-09-17,1.3128409357920003
2018-09-18,0.8559999249852204
2018-09-19,1.2669664326660652
2018-09-20,1.799590788687679
2018-09-21,1.4121495741605796
2018-09-25,2.7079390636690825
2018-09-26,3.0374960341941364
2018-09-27,3.228916591925371
2018-09-28,3.5448029055341603
2018-10-08,4.179404022952146
2018-10-09,5.545427094779325
2018-10-10,5.833112438548567
2018-10-11,3.9071175120016735
2018-10-12,3.6941959642188453
2018-10-15,3.536382536382539
2018-10-16,2.2981024280759015
2018-10-17,2.6912696790022506
2018-10-18,1.6586402266289053
2018-10-19,1.3261224489795858
2018-10-22,1.7984998986417955
2018-10-23,1.2894791884542984
2018-10-24,-0.2856264096780796
2018-10-25,-0.34172293840802304
2018-10-26,-0.24096138044371473
2018-10-29,-0.4719424460431691
2018-10-30,-0.09891237430740894
2018-10-31,-0.649979895456365
2018-11-01,-1.6520023673308326
2018-11-02,-2.537636505460217
2018-11-05,-2.590811757835315
2018-11-06,-2.689183987682832
2018-11-07,-3.2840348881304466
2018-11-08,-2.906434981859844
2018-11-09,-3.4357277882797663
2018-11-12,-3.125677950252473
2018-11-13,-4.108350457687279
2018-11-14,-5.114014251781475
2018-11-15,-5.34263537238957
2018-11-16,-5.032096474953622
2018-11-19,-5.11324652048295
2018-11-20,-5.5084151625890545
2018-11-21,-6.462603416677342
2018-11-22,-6.562350420759556
2018-11-23,-6.9756827514106075
2018-11-26,-7.641061172566266
2018-11-27,-7.578208871115831
2018-11-28,-6.6441930534637095
2018-11-29,-7.423102263579995
2018-11-30,-6.617181496866237
2018-12-03,-5.25582373975056
2018-12-04,-5.090708653473733
2018-12-05,-5.2468046787016505
2018-12-06,-5.297793209667909
2018-12-07,-5.738487181770677
2018-12-10,-4.208531675724441
2018-12-11,-4.673795068832696
2018-12-12,-4.001186170426816
2018-12-13,-4.049560610137129
2018-12-14,-3.8483519567255517
2018-12-17,-3.845165576683539
2018-12-18,-4.271928281135569
2018-12-19,-5.146037685155061
2018-12-20,-4.987007639014974
2018-12-21,-5.233717720735078
2018-12-24,-5.234340695947425
2018-12-25,-6.573193790961314
2018-12-26,-6.191252711998217
2018-12-27,-4.136644987289693
2018-12-28,-4.246178479775198
2019-01-02,-4.475270989892706
2019-01-03,-3.233297695579354
2019-01-04,-2.242601064930089
2019-01-07,-1.4495307251356377
2019-01-08,-1.3989263907771228
2019-01-09,-0.5670569178650583
2019-01-10,-0.11201202144173122
2019-01-11,0.3290804278714442
2019-01-14,-0.3364430537109578
2019-01-15,-0.12951843883990297
2019-01-16,0.3924928818611273
2019-01-17,0.6245440729099625
2019-01-18,1.1195701062516676
2019-01-21,1.5930729557038872
2019-01-22,1.3461944171937066
2019-01-23,1.2059059574470141
2019-01-24,0.7530735771454268
2019-01-25,1.1141670439362106
2019-01-28,0.522567783087509
2019-01-29,0.29605170216819593
2019-01-30,0.8110914813318144
2019-01-31,1.302884800333757
2019-02-01,0.7169386740307759
2019-02-11,1.1985065319780333
2019-02-12,1.03634078896266
2019-02-13,1.4653263562978516
2019-02-14,2.152818982489353
2019-02-15,2.304092690450419
2019-02-18,2.96779817129742
2019-02-19,2.9655743900753095
2019-02-20,2.5941928954503712
2019-02-21,2.6194844981565004
2019-02-22,2.5594793368954405
2019-02-25,1.8479275849209171
2019-02-26,0.5352750007907403
2019-02-27,0.8511355597639819
2019-02-28,0.8514576426830706
2019-03-01,1.4613077816337863
2019-03-04,0.2956721656091186
2019-03-05,0.05816380201631957
2019-03-06,0.2710170826016833
2019-03-07,0.296430447695493
2019-03-08,-0.035343450311062556
2019-03-11,0.14480343163808293
2019-03-12,0.4731410373061981
2019-03-13,0.546508729932337
2019-03-14,1.1512571032261227
2019-03-15,1.3073211655052375
2019-03-18,0.9725716644804187
2019-03-19,1.4499189066700637
2019-03-20,1.4070558646891933
2019-03-21,1.9034145852808289
2019-03-22,1.607689158313001
2019-03-25,0.5993765970206938
2019-03-26,1.002157848765785
2019-03-27,1.3439669683822002
2019-03-28,0.7723483733931739
2019-03-29,1.1658036290845757
2019-04-01,1.3959404294754452
2019-04-02,2.149407443395311
2019-04-03,2.2777789787721914
2019-04-04,1.8901374345645048
2019-04-08,2.4933770928217105
2019-04-09,2.6007636241749714
2019-04-10,2.272761817699556
2019-04-11,2.632304055259187
2019-04-12,2.098006578778321
2019-04-15,1.6993780187736125
2019-04-16,1.0797620458190373
2019-04-17,1.7526306890906638
2019-04-18,1.347185450212224
2019-04-19,1.6833388240776928
2019-04-22,2.998562866160681
2019-04-23,3.7427217496872984
2019-04-24,3.605038039362208
2019-04-25,4.359974240144389
2019-04-26,3.331028801024113
2019-04-29,1.6178159424946326
2019-04-30,2.051463625393813
2019-05-06,0.2783877789016952
2019-05-07,1.5333471253953184
2019-05-08,1.1324890822388005
2019-05-09,0.9594259241158501
2019-05-10,1.4790589048373273
2019-05-13,2.289635514194064
2019-05-14,2.042664021442494
2019-05-15,2.400111371610657
2019-05-16,2.832319792716143
2019-05-17,3.261918032626398
2019-05-20,3.9193267004076424
2019-05-21,2.8093095105169956
2019-05-22,2.318502045114568
2019-05-23,1.0555028678444895
2019-05-24,-0.9622568094980453
2019-05-27,-1.2372118246559878
2019-05-28,-0.6006475975511322
2019-05-29,-0.9306961487267612
2019-05-30,-0.7511809846277909
2019-05-31,-3.1518879022501274
2019-06-03,-4.57531114938305
2019-06-04,-4.936259088232184
2019-06-05,-4.5785326144804
2019-06-06,-5.111405977182586
2019-06-10,-3.4039272413910533
2019-06-11,-3.578794064274231
2019-06-12,-4.031510459959506
2019-06-13,-3.471771037695917
2019-06-14,-3.527659349866407
2019-06-17,-3.4283167755130908
2019-06-18,-4.199880286752154
2019-06-19,-3.19351075307435
2019-06-20,-2.462839691763145
2019-06-21,-1.9436532869386742
2019-06-24,-1.2810728604526476
2019-06-25,-1.7094043986999243
2019-06-26,-0.8957156802564591
2019-06-27,-0.9701480963214792
2019-06-28,-1.2335924596600967
2019-07-01,-0.5803599591560562
2019-07-02,-1.0663146646929362
2019-07-03,-2.12081728448926
2019-07-04,-1.841567831930278
2019-07-05,-1.6499301524657974
2019-07-08,-0.8874329559689678
2019-07-09,-0.821578180027241
2019-07-10,-0.5675549564339577
2019-07-11,0.7694050060843559
2019-07-12,0.6134131143890368
2019-07-15,0.4493658515811388
2019-07-16,0.3622463550762187
2019-07-17,-0.456032090176745
2019-07-18,-0.6424401089187042
2019-07-19,-0.9129292446848591
2019-07-22,-0.6325668708062064
2019-07-23,-0.4229546089670229
2019-07-24,-0.08540813927337715
2019-07-25,-0.01221105773183292
2019-07-26,0.31208121511264386
2019-07-29,-0.03003036608713415
2019-07-30,0.32349719522007997
2019-07-31,0.4701261631144452
2019-08-01,0.16650608746963305
2019-08-02,-0.9720878809283998
2019-08-05,-0.6225876649284121
2019-08-06,-0.7784357607204115
2019-08-07,-1.6321583756003863
2019-08-08,-2.0448443794912894
2019-08-09,-2.136919696079933
2019-08-12,-1.6621031504473407
2019-08-13,-1.6841450980164745
2019-08-14,-0.6300168775594948
2019-08-15,-1.3296266243239858
2019-08-16,-1.4545982127669632
2019-08-19,-0.8601799420891997
2019-08-20,-0.6659265679863936
2019-08-21,-0.6672340134405408
2019-08-22,-0.6762682438651506
2019-08-23,-0.5290287592523986
2019-08-26,-0.878319880652814
2019-08-27,-0.8700494960053946
2019-08-28,-0.4209266742628798
2019-08-29,-0.15948582909702325
2019-08-30,0.5851258998823343
2019-09-02,-0.0570809591145137
2019-09-03,-0.19018370129658604
2019-09-04,-0.13448892301554022
2019-09-05,0.6769393933583707
2019-09-06,1.0602096693411678
2019-09-09,1.6397069806942266
2019-09-10,1.8296861498135868
2019-09-11,1.9925414431664097
2019-09-12,0.9047003101075616
2019-09-16,3.481496363213052
2019-09-17,4.798714651839579
2019-09-18,3.101804502505604
2019-09-19,2.121289706884497
2019-09-20,2.4978874237563016
2019-09-23,2.6330802849723827
2019-09-24,2.2389771326352985
2019-09-25,1.4873371757768123
2019-09-26,1.3085752790862775
2019-09-27,1.1360740648349381
2019-09-30,1.003833409238148
2019-10-08,0.42125038899234224
2019-10-09,1.0853847781066097
2019-10-10,1.1031710248354136
2019-10-11,2.2729483291416384
2019-10-14,2.629963808822095
2019-10-15,1.6884406907285108
2019-10-16,1.370633357678491
2019-10-17,0.6312485137199569
2019-10-18,0.8216581387424403
2019-10-21,0.6462791200274676
2019-10-22,0.28912325397236444
2019-10-23,0.3370758271856908
2019-10-24,0.6542079333143467
2019-10-25,0.8483460019262133
2019-10-28,1.1384450890997106
2019-10-29,0.9437010869772641
2019-10-30,0.6738354495938587
2019-10-31,0.3378290998068317
2019-11-01,-0.1839666345352837
2019-11-04,0.31635807490256734
2019-11-05,0.9446556884012131
2019-11-06,0.8083570533301657
2019-11-07,0.3807578304500646
2019-11-08,0.14752985511128736
2019-11-11,0.1623099316641801
2019-11-12,0.5457158252508392
2019-11-13,-0.08542743638209754
2019-11-14,0.3562112529786958
2019-11-15,-0.2024954470476741
2019-11-18,0.28731343564011447
2019-11-19,0.11202921448014695
2019-11-20,-0.8193764563826315
2019-11-21,0.10001509332633676
2019-11-22,0.7609730721898897
2019-11-25,1.2021819816327297
2019-11-26,0.8776876967463368
2019-11-27,1.166864144783491
2019-11-28,0.97377320001557
2019-11-29,1.1107074888445485
2019-12-02,-0.18033103902218417
2019-12-03,-0.3358809223025965
2019-12-04,-0.5871710572289226
