date,FCT_Br_1@80
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-28,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-04,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,0.02335148215366024
2018-07-23,0.01958899170772773
2018-07-24,0.04998175848230598
2018-07-25,0.0754623921085083
2018-07-26,0.07945544554455461
2018-07-27,0.07424564917991748
2018-07-30,0.08112852664576818
2018-07-31,0.10978398983481598
2018-08-01,0.0940775350423035
2018-08-02,0.09003783102143773
2018-08-03,0.08484390735146036
2018-08-06,0.07215205702138316
2018-08-07,0.08083943871849027
2018-08-08,0.06704775515064913
2018-08-09,0.05614194913463918
2018-08-10,0.04962566063000382
2018-08-13,0.06385136393652062
2018-08-14,0.05369718687013952
2018-08-15,0.05435521275430395
2018-08-16,0.03741840218648275
2018-08-17,0.036703911325530275
2018-08-20,0.03523085116230905
2018-08-21,0.03998316767336357
2018-08-22,0.04943605630913951
2018-08-23,0.0688891309715242
2018-08-24,0.07195547507286262
2018-08-27,0.07279770931309461
2018-08-28,0.06149195890427385
2018-08-29,0.056297526093686774
2018-08-30,0.0814364728961952
2018-08-31,0.06537768432089883
2018-09-03,0.06998423486318017
2018-09-04,0.08417445026595119
2018-09-05,0.07828904902501775
2018-09-06,0.07554262091636775
2018-09-07,0.05826325852164238
2018-09-10,0.05309757913524096
2018-09-11,0.05765778560141174
2018-09-12,0.07312459226794522
2018-09-13,0.06476086870792
2018-09-14,0.05771812485575235
2018-09-17,0.06744735497965686
2018-09-18,0.08969134033116533
2018-09-19,0.10111575339073148
2018-09-20,0.10869070555233466
2018-09-21,0.08648147467616145
2018-09-25,0.09924387847338081
2018-09-26,0.11506553124363238
2018-09-27,0.12726288352382115
2018-09-28,0.13895515295902114
2018-10-08,0.15857246181935702
2018-10-09,0.1706169622196393
2018-10-10,0.1600698030765866
2018-10-11,0.12116677131437548
2018-10-12,0.1176329845256039
2018-10-15,0.09793723509959196
2018-10-16,0.07653319979831834
2018-10-17,0.08511888524173677
2018-10-18,0.06021787335159405
2018-10-19,0.05668843753108174
2018-10-22,0.07143432286443711
2018-10-23,0.04941836545966469
2018-10-24,0.0204213713986415
2018-10-25,0.009873327390661116
2018-10-26,0.005379177779491209
2018-10-29,0.002494689275755573
2018-10-30,-0.006610434032904682
2018-10-31,-0.022675319455313626
2018-11-01,-0.02715402511627064
2018-11-02,-0.04761707825569594
2018-11-05,-0.053150295881351464
2018-11-06,-0.043935357832183594
2018-11-07,-0.05513111550160608
2018-11-08,-0.050952624358703236
2018-11-09,-0.04499868864183384
2018-11-12,-0.049623775730624674
2018-11-13,-0.0727795042886654
2018-11-14,-0.07317658568751335
2018-11-15,-0.09015665878883165
2018-11-16,-0.09359510682021514
2018-11-19,-0.10224377248397373
2018-11-20,-0.10887051992149792
2018-11-21,-0.1371227880049373
2018-11-22,-0.1440961789766625
2018-11-23,-0.14632759981569207
2018-11-26,-0.16104186039850155
2018-11-27,-0.15629224933243047
2018-11-28,-0.15387672861573062
2018-11-29,-0.161089010738031
2018-11-30,-0.146385021648507
2018-12-03,-0.14590564441308077
2018-12-04,-0.15065468346913025
2018-12-05,-0.17505240053395543
2018-12-06,-0.16048622335471716
2018-12-07,-0.1673095518325818
2018-12-10,-0.13730876953675944
2018-12-11,-0.15810493646982585
2018-12-12,-0.15682024858364993
2018-12-13,-0.15739600476528373
2018-12-14,-0.14418751864414658
2018-12-17,-0.1491975032760355
2018-12-18,-0.14896835537360517
2018-12-19,-0.17114475476356014
2018-12-20,-0.1802237064322342
2018-12-21,-0.1996421825054764
2018-12-24,-0.2146535183404246
2018-12-25,-0.23766723778140547
2018-12-26,-0.23475315033435845
2018-12-27,-0.20430830756125257
2018-12-28,-0.22795776977044138
2019-01-02,-0.2304889634052532
2019-01-03,-0.19963998933188892
2019-01-04,-0.18843971827449854
2019-01-07,-0.18138559780892521
2019-01-08,-0.17798996470863548
2019-01-09,-0.16083578218323494
2019-01-10,-0.1529659523129841
2019-01-11,-0.14436893712011067
2019-01-14,-0.16919013447714243
2019-01-15,-0.16562028323240655
2019-01-16,-0.15271399572374336
2019-01-17,-0.1547369870621865
2019-01-18,-0.15068052574451096
2019-01-21,-0.1530140280012356
2019-01-22,-0.16118284365845273
2019-01-23,-0.16373228536738377
2019-01-24,-0.18883188537353357
2019-01-25,-0.18990208647316537
2019-01-28,-0.19911580795070724
2019-01-29,-0.2065566230958077
2019-01-30,-0.20775088519836699
2019-01-31,-0.22376374285688044
2019-02-01,-0.22410555500884619
2019-02-11,-0.19479193934423658
2019-02-12,-0.18588032370145538
2019-02-13,-0.16749938478716284
2019-02-14,-0.14535990344187974
2019-02-15,-0.14603803762701878
2019-02-18,-0.11420320518060129
2019-02-19,-0.11498688346067171
2019-02-20,-0.13148448889388162
2019-02-21,-0.12304706228825923
2019-02-22,-0.10748088164809835
2019-02-25,-0.11569422541059164
2019-02-26,-0.1386787400965151
2019-02-27,-0.13596391038952052
2019-02-28,-0.13623519779606988
2019-03-01,-0.11178579527790104
2019-03-04,-0.11283691235693494
2019-03-05,-0.09297326360257696
2019-03-06,-0.08961489313447027
2019-03-07,-0.08987293812009688
2019-03-08,-0.08338470277935198
2019-03-11,-0.09698351852579724
2019-03-12,-0.07877712000494837
2019-03-13,-0.07264709280979621
2019-03-14,-0.05087745982443368
2019-03-15,-0.0373986318424527
2019-03-18,-0.035818987065581995
2019-03-19,-0.030617319211687925
2019-03-20,-0.029858167511417823
2019-03-21,-0.016878619490031842
2019-03-22,-0.002758828597464885
2019-03-25,-0.014920288809463163
2019-03-26,-0.0004911400930360978
2019-03-27,0.01964229932972817
2019-03-28,0.012204212370732302
2019-03-29,0.005412221943413991
2019-04-01,0.029695413871772353
2019-04-02,0.030378423872465737
2019-04-03,0.02695505811591921
2019-04-04,0.028389357109116328
2019-04-08,0.047100251871482604
2019-04-09,0.046246282538214716
2019-04-10,0.059225145212146744
2019-04-11,0.03959295112586475
2019-04-12,0.04700716398371326
2019-04-15,0.034842888963619166
2019-04-16,0.029669943648896777
2019-04-17,0.037055536015186
2019-04-18,0.03819321453297037
2019-04-19,0.05346037603601388
2019-04-22,0.09331610375097481
2019-04-23,0.09871907069687796
2019-04-24,0.11225643617240312
2019-04-25,0.1399189872462826
2019-04-26,0.1753011496348419
2019-04-29,0.14786341492059749
2019-04-30,0.12591447771654243
2019-05-06,0.1106165947998826
2019-05-07,0.1340853123515101
2019-05-08,0.09408325951186462
2019-05-09,0.07355985537646895
2019-05-10,0.06872103580406523
2019-05-13,0.07514443137594114
2019-05-14,0.06774187957062042
2019-05-15,0.06131839415784179
2019-05-16,0.06468463464562388
2019-05-17,0.09298357044148434
2019-05-20,0.09512055696073332
2019-05-21,0.07204043794908417
2019-05-22,0.06719209418358252
2019-05-23,0.05247876246926615
2019-05-24,0.008947646453917518
2019-05-27,0.010145122546184427
2019-05-28,0.03567110510220396
2019-05-29,0.043431262584371806
2019-05-30,0.025905035673059195
2019-05-31,0.0029698937776893694
2019-06-03,-0.008754120521792245
2019-06-04,-0.022815464723133984
2019-06-05,-0.027611015910197132
2019-06-06,-0.0397353460317
2019-06-10,-0.024068791276383644
2019-06-11,-0.03170482613647456
2019-06-12,-0.05370664525294127
2019-06-13,-0.058567000786270765
2019-06-14,-0.05799508876143101
2019-06-17,-0.07194114712012017
2019-06-18,-0.08092197590691043
2019-06-19,-0.05207614047371325
2019-06-20,-0.04684531316933917
2019-06-21,-0.029626237907886134
2019-06-24,-0.012847973847953704
2019-06-25,-0.0017144430095926355
2019-06-26,0.0027528679518105227
2019-06-27,-0.0026882098803063066
2019-06-28,-0.014640976483518222
2019-07-01,0.008951379920723732
2019-07-02,-0.01357731142904733
2019-07-03,-0.0320848186780664
2019-07-04,-0.02621574612179655
2019-07-05,-0.026205993690046076
2019-07-08,-0.010908206574146694
2019-07-09,-0.014912756515863754
2019-07-10,-0.014891774223644199
2019-07-11,-0.004326553858917009
2019-07-12,-0.011851592000664213
2019-07-15,-0.008081760997866531
2019-07-16,-0.015387199808182414
2019-07-17,-0.027379131355537312
2019-07-18,-0.03222643461411669
2019-07-19,-0.04036787671657787
2019-07-22,-0.029525409501608122
2019-07-23,-0.03693663609421388
2019-07-24,-0.04144617322532715
2019-07-25,-0.039088751250120214
2019-07-26,-0.03652481714004546
2019-07-29,-0.04514305988953249
2019-07-30,-0.054219248585496774
2019-07-31,-0.0553680446618509
2019-08-01,-0.05573169616452033
2019-08-02,-0.09138066086795522
2019-08-05,-0.08658627785088538
2019-08-06,-0.11179583286319045
2019-08-07,-0.1304137786017695
2019-08-08,-0.13847654409456234
2019-08-09,-0.1437889402747204
2019-08-12,-0.12639862359097695
2019-08-13,-0.13061061310440455
2019-08-14,-0.10900008720537689
2019-08-15,-0.12599237632203128
2019-08-16,-0.15334163908419624
2019-08-19,-0.15667094972153695
2019-08-20,-0.15451998103581524
2019-08-21,-0.17114436984897902
2019-08-22,-0.16237724364355252
2019-08-23,-0.14758322374754948
2019-08-26,-0.1636613732734438
2019-08-27,-0.14008174822177297
2019-08-28,-0.15013008587481078
2019-08-29,-0.1324272493363016
2019-08-30,-0.12098614211223778
2019-09-02,-0.13733188477711028
2019-09-03,-0.14956196649922865
2019-09-04,-0.16829163757243645
2019-09-05,-0.15941569041221607
2019-09-06,-0.15416593876292214
2019-09-09,-0.1621325817940347
2019-09-10,-0.16545787031970152
2019-09-11,-0.14698586074923814
2019-09-12,-0.1517764625250061
2019-09-16,-0.09908696160947687
2019-09-17,-0.04790337072964016
2019-09-18,-0.06849186112656963
2019-09-19,-0.0909141399666822
2019-09-20,-0.08137531340848664
2019-09-23,-0.06776785469346767
2019-09-24,-0.046632063811378785
2019-09-25,-0.03809640590173743
2019-09-26,-0.04303318955436446
2019-09-27,-0.05000325297887202
2019-09-30,-0.0389297679607016
2019-10-08,-0.07518427663683838
2019-10-09,-0.043672289570814385
2019-10-10,-0.0289949249669346
2019-10-11,-0.011659370014626351
2019-10-14,-0.0034259589140847027
2019-10-15,-0.018910173951815976
2019-10-16,-0.007300089812846996
2019-10-17,-0.03514939098349256
2019-10-18,-0.039014068684999674
2019-10-21,-0.053078617933592996
2019-10-22,-0.0683296660083635
2019-10-23,-0.05269108737051598
2019-10-24,-0.062192296249908935
2019-10-25,-0.05663772017309277
2019-10-28,-0.05289970749313756
2019-10-29,-0.05650808681693544
2019-10-30,-0.04098773169175264
2019-10-31,-0.02149340721836196
2019-11-01,-0.038565923395646386
2019-11-04,-0.029031039952948232
2019-11-05,-0.025917286625064564
2019-11-06,-0.028260521415385847
2019-11-07,-0.028292107860114855
2019-11-08,-0.04518513763036779
2019-11-11,-0.03749098485785142
2019-11-12,-0.023516409041612146
2019-11-13,-0.030542770633722946
2019-11-14,-0.008822502158256328
2019-11-15,-0.010843594195113842
2019-11-18,0.0072227402431823354
2019-11-19,0.002845394806382742
2019-11-20,-0.008510859716841766
2019-11-21,0.0005649612391578512
2019-11-22,0.010167802515156987
2019-11-25,0.0121122669099551
2019-11-26,0.011974781136915214
2019-11-27,0.014406208139656883
2019-11-28,0.01077103287872782
2019-11-29,0.0183196557844856
2019-12-02,0.033126667984658964
2019-12-03,0.02498831985937222
2019-12-04,0.0591144295695106
2019-12-05,0.0864168737674584
2019-12-06,0.11323418805643122
2019-12-09,0.13107326335185604
2019-12-10,0.1184374128510321
2019-12-11,0.11408817063370989
2019-12-12,0.09345351659131071
2019-12-13,0.11553117250904237
2019-12-16,0.13594030592389922
