date,FCT_Cmf_1@40
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,0.2421375727607244
2018-05-25,0.2084428466892638
2018-05-28,0.19162291756458938
2018-05-29,0.2088715886128496
2018-05-30,0.1990768723086016
2018-05-31,0.19414585105434407
2018-06-01,0.1695927544308066
2018-06-04,0.17934669164023376
2018-06-05,0.17450753191867124
2018-06-06,0.19457267835749117
2018-06-07,0.2211517935592728
2018-06-08,0.19515891241838934
2018-06-11,0.15171217007657353
2018-06-12,0.17352369075399
2018-06-13,0.15524872277967264
2018-06-14,0.14257121218706278
2018-06-15,0.11919287151139017
2018-06-19,0.10995764434809012
2018-06-20,0.1318856230451272
2018-06-21,0.0871872456985913
2018-06-22,0.08677002589787042
2018-06-25,0.0806812975560665
2018-06-26,0.09656833037475877
2018-06-27,0.12159852217127855
2018-06-28,0.11751113856459891
2018-06-29,0.10983458931947279
2018-07-02,0.0910437371242748
2018-07-03,0.09963041331995029
2018-07-04,0.09311618554944788
2018-07-05,0.06569537664829307
2018-07-06,0.03797469848509592
2018-07-09,0.05533060035140254
2018-07-10,0.08885216084941538
2018-07-11,0.08850391279095542
2018-07-12,0.06652921922535958
2018-07-13,0.04926771553496618
2018-07-16,0.018407649844943003
2018-07-17,-0.012253943749827231
2018-07-18,-0.024383902164394497
2018-07-19,0.00147444733529925
2018-07-20,0.016996591313091187
2018-07-23,0.01971710339809527
2018-07-24,0.010285708334707738
2018-07-25,0.02387077443668822
2018-07-26,0.041891111390354875
2018-07-27,0.046161670970263705
2018-07-30,0.07416016098468835
2018-07-31,0.06281132714020057
2018-08-01,0.04710271630963562
2018-08-02,0.05023946693899456
2018-08-03,0.04359137549862647
2018-08-06,0.07809697819592296
2018-08-07,0.11710567963433728
2018-08-08,0.08336948644803269
2018-08-09,0.09687104528868769
2018-08-10,0.09380711214089661
2018-08-13,0.09931227932362006
2018-08-14,0.11118903732279052
2018-08-15,0.08154371358745034
2018-08-16,0.08733072625814378
2018-08-17,0.06563103127022385
2018-08-20,0.07545164819491353
2018-08-21,0.06383213204510468
2018-08-22,0.049794080407939915
2018-08-23,0.03792154727071149
2018-08-24,0.04678333727102521
2018-08-27,0.055517255550319736
2018-08-28,0.03288180882377464
2018-08-29,0.016853120723534964
2018-08-30,0.04781391045104001
2018-08-31,0.07417973350201489
2018-09-03,0.055470163630601844
2018-09-04,0.03359522132529134
2018-09-05,-0.002406807069135764
2018-09-06,0.007735850191813204
2018-09-07,0.008429666936696128
2018-09-10,0.05741718257861897
2018-09-11,0.1062732818072885
2018-09-12,0.12583743305001818
2018-09-13,0.10132604932017175
2018-09-14,0.06067568356264944
2018-09-17,0.08479963899091364
2018-09-18,0.07529936236719248
2018-09-19,0.050887409800861136
2018-09-20,0.05452098115744474
2018-09-21,0.045574490647167606
2018-09-25,0.03285925744564576
2018-09-26,0.051579483535179216
2018-09-27,0.0819941079030267
2018-09-28,0.08336439598359617
2018-10-08,0.07195922570671925
2018-10-09,0.07375630721720165
2018-10-10,0.07944312993587943
2018-10-11,0.06977276446856806
2018-10-12,0.0906887077259916
2018-10-15,0.11325236639961528
2018-10-16,0.09902361928626115
2018-10-17,0.11768472993695984
2018-10-18,0.1296241147316133
2018-10-19,0.1417060788119062
2018-10-22,0.16373971588532943
2018-10-23,0.16229009898642618
2018-10-24,0.14400525878232615
2018-10-25,0.12729989724133672
2018-10-26,0.12924637549888174
2018-10-29,0.09730816876372093
2018-10-30,0.11058272633105042
2018-10-31,0.13619574747935317
2018-11-01,0.1366864422040145
2018-11-02,0.1043800176643974
2018-11-05,0.10466905865689273
2018-11-06,0.09132589700484471
2018-11-07,0.06567256666684457
2018-11-08,0.09097458890913945
2018-11-09,0.09153371998598177
2018-11-12,0.11519152956757689
2018-11-13,0.07540632433735878
2018-11-14,0.03413072317341197
2018-11-15,0.02950629048454866
2018-11-16,0.050400070633294373
2018-11-19,0.06147410703899708
2018-11-20,0.04046088586370529
2018-11-21,0.03281502138217193
2018-11-22,0.00972035981834392
2018-11-23,-0.03055811556631776
2018-11-26,-0.04346415317757898
2018-11-27,-0.06423400453936859
2018-11-28,-0.042573978629660426
2018-11-29,-0.08495856243278217
2018-11-30,-0.0744195119633475
2018-12-03,-0.047348416971443257
2018-12-04,-0.04349153080211865
2018-12-05,-0.07693329908355076
2018-12-06,-0.08701743089029634
2018-12-07,-0.11004702311736973
2018-12-10,-0.11568982450189587
2018-12-11,-0.1147745147494767
2018-12-12,-0.12291962279919678
2018-12-13,-0.13832243880885764
2018-12-14,-0.13906636858681304
2018-12-17,-0.15359026521452357
2018-12-18,-0.16441067830186418
2018-12-19,-0.17576398265145857
2018-12-20,-0.18445161244197802
2018-12-21,-0.18973457727095583
2018-12-24,-0.16156946437290698
2018-12-25,-0.18925123186935178
2018-12-26,-0.20972954348374304
2018-12-27,-0.1613836069995948
2018-12-28,-0.14856151599992456
2019-01-02,-0.16529524471456608
2019-01-03,-0.14801072108330124
2019-01-04,-0.10872660688792402
2019-01-07,-0.09337473768900376
2019-01-08,-0.10288964599071597
2019-01-09,-0.1031499161738391
2019-01-10,-0.09461020912737236
2019-01-11,-0.054991661766592446
2019-01-14,-0.08209023185245354
2019-01-15,-0.09061263235709131
2019-01-16,-0.06701733550607712
2019-01-17,-0.03661088559908022
2019-01-18,3.422421348965663e-05
2019-01-21,0.03289511488943154
2019-01-22,0.03765386700286435
2019-01-23,0.06352613193654079
2019-01-24,0.06477861953492799
2019-01-25,0.05859872693643726
2019-01-28,0.06214283431513151
2019-01-29,0.04700764190132628
2019-01-30,0.029724507746709032
2019-01-31,0.019735022011983332
2019-02-01,0.016447324976279914
2019-02-11,0.04034466684132112
2019-02-12,0.04484204154897939
2019-02-13,0.034598707968875084
2019-02-14,0.05818030638114486
2019-02-15,0.05524162958522318
2019-02-18,0.07193466192025026
2019-02-19,0.08402697732397381
2019-02-20,0.08588580276691936
2019-02-21,0.09818891015116524
2019-02-22,0.12986973821055875
2019-02-25,0.13350779195363127
2019-02-26,0.1419937702840541
2019-02-27,0.14060586312092244
2019-02-28,0.15448461175686448
2019-03-01,0.1717078803117253
2019-03-04,0.13130481041559722
2019-03-05,0.11561275855973004
2019-03-06,0.1386903399076493
2019-03-07,0.13496323380765649
2019-03-08,0.0994300094613364
2019-03-11,0.10099830869107781
2019-03-12,0.12720160476497241
2019-03-13,0.11781900393535483
2019-03-14,0.14309240903392417
2019-03-15,0.12291400614748016
2019-03-18,0.16233103208855978
2019-03-19,0.177887778656253
2019-03-20,0.1553421552540174
2019-03-21,0.1411351538966801
2019-03-22,0.11263939665578512
2019-03-25,0.07267374345079357
2019-03-26,0.09927508081840114
2019-03-27,0.0683950930775871
2019-03-28,0.06383092606113565
2019-03-29,0.059896250805878126
2019-04-01,0.10636426496192627
2019-04-02,0.1213138429543748
2019-04-03,0.12170757814188381
2019-04-04,0.10538408380209739
2019-04-08,0.1277791443518938
2019-04-09,0.118440970736294
2019-04-10,0.12470834455884955
2019-04-11,0.13984098034942838
2019-04-12,0.11154816834484563
2019-04-15,0.09037917139251611
2019-04-16,0.06792713555689994
2019-04-17,0.06028178747140593
2019-04-18,0.05745450014005599
2019-04-19,0.06248119975850135
2019-04-22,0.05640556070315999
2019-04-23,0.09497155913281186
2019-04-24,0.09567443838027444
2019-04-25,0.10875658136806031
2019-04-26,0.10253763884384398
2019-04-29,0.049103894445861884
2019-04-30,0.07614608884569733
2019-05-06,0.10079297741744424
2019-05-07,0.09449498227966605
2019-05-08,0.12487992195596931
2019-05-09,0.14970698096267218
2019-05-10,0.1325999819479695
2019-05-13,0.15605552542582427
2019-05-14,0.1279762405108501
2019-05-15,0.11119775816807703
2019-05-16,0.10814854119837572
2019-05-17,0.10876336031202183
2019-05-20,0.11801033876818698
2019-05-21,0.10674187257477602
2019-05-22,0.07587094715216089
2019-05-23,0.04863526004559621
2019-05-24,0.0593817628791049
2019-05-27,0.04070229455549924
2019-05-28,0.04591848234726922
2019-05-29,0.05428039059974025
2019-05-30,0.06105454706232497
2019-05-31,0.016329239624623015
2019-06-03,-0.029766399164807913
2019-06-04,-0.05409028556613835
2019-06-05,-0.04530538086479452
2019-06-06,-0.04440471588246762
2019-06-10,-0.0412776378489153
2019-06-11,-0.03928168090041387
2019-06-12,-0.05822334987791165
2019-06-13,-0.04189050168383212
2019-06-14,-0.041438988742273246
2019-06-17,-0.03732513281859065
2019-06-18,-0.056854148779867886
2019-06-19,-0.0451085609845938
2019-06-20,-0.026078002369255286
2019-06-21,-0.0299629196840331
2019-06-24,-0.028626749222904993
2019-06-25,-0.033356518838497606
2019-06-26,-0.0315772551973106
2019-06-27,-0.03378784773130978
2019-06-28,-0.029053066708295997
2019-07-01,-0.01976334577337393
2019-07-02,-0.01970623011456672
2019-07-03,-0.053748386784704415
2019-07-04,-0.08452559475443047
2019-07-05,-0.08175456994557692
2019-07-08,-0.06733898968597693
2019-07-09,-0.09777572827042777
2019-07-10,-0.0739077419618491
2019-07-11,-0.05099595833554221
2019-07-12,-0.057850574562588616
2019-07-15,-0.061741872771536616
2019-07-16,-0.08802879821735582
2019-07-17,-0.08930850944948758
2019-07-18,-0.08983207785297738
2019-07-19,-0.06664512629710868
2019-07-22,-0.04600525675844817
2019-07-23,-0.02672111827816182
2019-07-24,-0.02159106785111728
2019-07-25,-0.0026971428574076107
2019-07-26,-0.014634810527219697
2019-07-29,0.003277886777248454
2019-07-30,0.04462452135534003
2019-07-31,0.0683947447252655
2019-08-01,0.066315283064822
2019-08-02,0.07248591327907074
2019-08-05,0.06703103752800564
2019-08-06,0.08679342010010034
2019-08-07,0.0871287533243253
2019-08-08,0.10366554768970741
2019-08-09,0.12640243367039944
2019-08-12,0.13669485608425413
2019-08-13,0.1441104506115294
2019-08-14,0.1584943448840489
2019-08-15,0.13765570059130006
2019-08-16,0.1416296387311322
2019-08-19,0.12910421456374951
2019-08-20,0.15621613967931644
2019-08-21,0.14828124770103204
2019-08-22,0.16258713767739685
2019-08-23,0.196957343240891
2019-08-26,0.1860234783228051
2019-08-27,0.17360637423896813
2019-08-28,0.21698057051877467
2019-08-29,0.2234237572963094
2019-08-30,0.23387497096974483
2019-09-02,0.1889075546499783
2019-09-03,0.20943382122842527
2019-09-04,0.21842762300440874
2019-09-05,0.18778390771175563
2019-09-06,0.1715841154035998
2019-09-09,0.19419151743401716
2019-09-10,0.21622337948609383
2019-09-11,0.20694826278021933
2019-09-12,0.18689035140025034
2019-09-16,0.1762703244181603
2019-09-17,0.17522177558406218
2019-09-18,0.12529457500858615
2019-09-19,0.08525207621601934
2019-09-20,0.08129472763129493
2019-09-23,0.06443312094200347
2019-09-24,0.06505651713548273
2019-09-25,0.02372388550875381
2019-09-26,0.0241170971423662
2019-09-27,0.022531326210542733
2019-09-30,0.02407430624593179
2019-10-08,0.030950531948667932
2019-10-09,0.0025934792052497778
2019-10-10,0.008488348875373405
2019-10-11,-0.010492021652925784
2019-10-14,-0.02663475219840131
2019-10-15,-0.029486173094849338
2019-10-16,-0.021185501286958147
2019-10-17,-0.05008272724323546
2019-10-18,-0.0402997115472938
2019-10-21,-0.04497361635539004
2019-10-22,-0.05626723352061645
2019-10-23,-0.07946792567212402
2019-10-24,-0.08444861291137867
2019-10-25,-0.0777602604412655
2019-10-28,-0.07341582942813879
2019-10-29,-0.1016087314071901
2019-10-30,-0.0978488200947986
2019-10-31,-0.12932392533606327
2019-11-01,-0.12799351399353848
2019-11-04,-0.15037537049486635
2019-11-05,-0.12235120828368834
2019-11-06,-0.13662509861117417
2019-11-07,-0.18573354875774023
2019-11-08,-0.2052776645906719
2019-11-11,-0.18542975754674043
2019-11-12,-0.20774779101202892
2019-11-13,-0.22616586429151894
2019-11-14,-0.20806091530805998
2019-11-15,-0.20360907262824374
2019-11-18,-0.18885206408817157
2019-11-19,-0.22690329260828265
2019-11-20,-0.21420171359752546
2019-11-21,-0.15443593034370787
2019-11-22,-0.13511270161814848
2019-11-25,-0.11758240878611026
2019-11-26,-0.10049010347504822
