date,FCT_Dmi_Adx@180
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-09,
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,
2018-04-16,
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-05-02,
2018-05-03,
2018-05-04,
2018-05-07,
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,
2018-05-14,
2018-05-15,
2018-05-16,
2018-05-17,
2018-05-18,
2018-05-21,
2018-05-22,
2018-05-23,
2018-05-24,
2018-05-25,
2018-05-28,
2018-05-29,
2018-05-30,
2018-05-31,
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-04,
2018-07-05,
2018-07-06,
2018-07-09,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-23,
2018-07-24,
2018-07-25,
2018-07-26,
2018-07-27,
2018-07-30,
2018-07-31,
2018-08-01,
2018-08-02,
2018-08-03,
2018-08-06,
2018-08-07,
2018-08-08,
2018-08-09,
2018-08-10,
2018-08-13,
2018-08-14,
2018-08-15,
2018-08-16,
2018-08-17,
2018-08-20,
2018-08-21,
2018-08-22,
2018-08-23,
2018-08-24,
2018-08-27,
2018-08-28,
2018-08-29,
2018-08-30,
2018-08-31,
2018-09-03,
2018-09-04,
2018-09-05,
2018-09-06,
2018-09-07,
2018-09-10,
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-14,
2018-09-17,
2018-09-18,
2018-09-19,
2018-09-20,
2018-09-21,
2018-09-25,
2018-09-26,
2018-09-27,
2018-09-28,
2018-10-08,
2018-10-09,
2018-10-10,
2018-10-11,
2018-10-12,
2018-10-15,
2018-10-16,
2018-10-17,
2018-10-18,
2018-10-19,
2018-10-22,
2018-10-23,
2018-10-24,
2018-10-25,
2018-10-26,
2018-10-29,
2018-10-30,
2018-10-31,
2018-11-01,
2018-11-02,
2018-11-05,
2018-11-06,
2018-11-07,
2018-11-08,
2018-11-09,
2018-11-12,
2018-11-13,
2018-11-14,
2018-11-15,
2018-11-16,
2018-11-19,
2018-11-20,
2018-11-21,
2018-11-22,
2018-11-23,
2018-11-26,
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,
2018-12-03,
2018-12-04,
2018-12-05,
2018-12-06,
2018-12-07,
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,
2018-12-25,
2018-12-26,
2018-12-27,
2018-12-28,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-21,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-18,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,
2019-03-29,
2019-04-01,
2019-04-02,
2019-04-03,
2019-04-04,
2019-04-08,
2019-04-09,
2019-04-10,
2019-04-11,
2019-04-12,
2019-04-15,
2019-04-16,
2019-04-17,
2019-04-18,
2019-04-19,
2019-04-22,
2019-04-23,
2019-04-24,
2019-04-25,
2019-04-26,
2019-04-29,
2019-04-30,
2019-05-06,
2019-05-07,
2019-05-08,
2019-05-09,
2019-05-10,
2019-05-13,
2019-05-14,
2019-05-15,
2019-05-16,
2019-05-17,
2019-05-20,
2019-05-21,
2019-05-22,
2019-05-23,
2019-05-24,
2019-05-27,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-09,
2019-09-10,
2019-09-11,7.767518277602916
2019-09-12,7.782823501703182
2019-09-16,7.773378300839595
2019-09-17,7.766799232904527
2019-09-18,7.759441352297165
2019-09-19,7.742527869112079
2019-09-20,7.726723862646113
2019-09-23,7.719471490914801
2019-09-24,7.712535961552833
2019-09-25,7.701176667508345
2019-09-26,7.679623687974366
2019-09-27,7.66079000995951
2019-09-30,7.643642843286595
2019-10-08,7.643352060089042
2019-10-09,7.63088262138081
2019-10-10,7.624149954837147
2019-10-11,7.6178520732002655
2019-10-14,7.60169402283557
2019-10-15,7.579637143885168
2019-10-16,7.561215021950948
2019-10-17,7.5465205563133155
2019-10-18,7.534717110198532
2019-10-21,7.531022763132058
2019-10-22,7.53637655293412
2019-10-23,7.543808636246255
2019-10-24,7.5408799861050815
2019-10-25,7.5347841354636795
2019-10-28,7.520949076847791
2019-10-29,7.503544535986925
2019-10-30,7.48188896575283
2019-10-31,7.461320782425047
2019-11-01,7.449376639636455
2019-11-04,7.435524607920604
2019-11-05,7.41639267839009
2019-11-06,7.398969812181899
2019-11-07,7.383752490017364
2019-11-08,7.372597652875097
2019-11-11,7.3722744585189215
2019-11-12,7.385686459209409
2019-11-13,7.396160831330457
2019-11-14,7.40720334901995
2019-11-15,7.417663158671297
2019-11-18,7.441050210346113
2019-11-19,7.4615642346391695
2019-11-20,7.466312094197448
2019-11-21,7.4653064070346
2019-11-22,7.461172415204374
2019-11-25,7.461188798239792
2019-11-26,7.455888178748637
2019-11-27,7.452141462934195
2019-11-28,7.440987358032486
2019-11-29,7.431504172431629
2019-12-02,7.426214021946555
2019-12-03,7.412586883830977
2019-12-04,7.4103762499478645
2019-12-05,7.40374115145291
2019-12-06,7.402498385131979
2019-12-09,7.404052582420632
2019-12-10,7.400356048657601
2019-12-11,7.4003472831443045
2019-12-12,7.406405053166099
2019-12-13,7.410899879877566
2019-12-16,7.413493102073636
2019-12-17,7.399082171578384
2019-12-18,7.3773191216646525
2019-12-19,7.357910262777729
2019-12-20,7.326498399804309
2019-12-23,7.289482699942383
2019-12-24,7.259445376571062
2019-12-25,7.2359094411195795
2019-12-26,7.215925300482398
2019-12-27,7.19444197734813
2019-12-30,7.176225802646194
2019-12-31,7.158970029800253
2020-01-02,7.146424428344817
2020-01-03,7.128869726900382
2020-01-06,7.106244613828067
2020-01-07,7.090995581246136
2020-01-08,7.084798193988187
2020-01-09,7.065529189791775
2020-01-10,7.041224197975421
2020-01-13,7.015553772276649
2020-01-14,7.008593555762204
2020-01-15,7.003577372204075
2020-01-16,7.001581315653754
2020-01-17,7.003169141953166
2020-01-20,7.003217429065223
2020-01-21,6.9854717779615205
2020-01-22,6.975221405333882
2020-01-23,6.956087075005569
2020-02-03,6.958643708998827
2020-02-04,6.975048781950824
2020-02-05,6.984563646441514
2020-02-06,6.992986536750639
2020-02-07,7.008456740721109
2020-02-10,7.047405680857968
2020-02-11,7.086354620994826
2020-02-12,7.130253176953668
2020-02-13,7.174042995372569
2020-02-14,7.233034085662867
2020-02-17,7.289978015587454
2020-02-18,7.3526462564112425
2020-02-19,7.402512884578698
2020-02-20,7.416670661076762
2020-02-21,7.42920000194615
2020-02-24,7.452040931806413
2020-02-25,7.477174025900461
2020-02-26,7.495450277960419
2020-02-27,7.509981709376099
2020-02-28,7.508220185112364
2020-03-02,7.494627904365964
2020-03-03,7.473674195911508
2020-03-04,7.442181270423541
2020-03-05,7.420485346099363
2020-03-06,7.403852778976751
2020-03-09,7.392308009497344
2020-03-10,7.390657773930843
2020-03-11,7.403786903764959
2020-03-12,7.4148172697397845
2020-03-13,7.417954424373854
2020-03-16,7.432020778783284
2020-03-17,7.45477329145199
2020-03-18,7.490001923265854
2020-03-19,7.53552673669835
2020-03-20,7.568136572287569
2020-03-23,7.613523918335087
2020-03-24,7.645234093440362
2020-03-25,7.669716946363379
2020-03-26,7.690453150537585
2020-03-27,7.706843586563265
2020-03-30,7.711828517507753
2020-03-31,7.691922133538973
2020-04-01,7.671681487844931
2020-04-02,7.656286594763402
2020-04-03,7.646607831252813
2020-04-07,7.635627563984624
2020-04-08,7.648588861425445
2020-04-09,7.65909880875346
2020-04-10,7.6738413320972905
2020-04-13,7.686252251949822
2020-04-14,7.686468846003673
2020-04-15,7.689434701591375
2020-04-16,7.6940375457164505
2020-04-17,7.704737766172035
2020-04-20,7.719555406569726
2020-04-21,7.741308671238049
2020-04-22,7.773040442785923
2020-04-23,7.80102633120204
2020-04-24,7.830942700150505
2020-04-27,7.871376651502419
2020-04-28,7.920370335001634
2020-04-29,7.957587182675106
2020-04-30,7.975445560591742
2020-05-06,7.980657660041849
2020-05-07,7.96815805714583
2020-05-08,7.956313375657206
2020-05-11,7.931903759687053
2020-05-12,7.9157403905959365
2020-05-13,7.917100359448015
2020-05-14,7.920501704270245
2020-05-15,7.932064957757314
2020-05-18,7.941563889400449
2020-05-19,7.952842711395706
2020-05-20,7.972800911618651
2020-05-21,7.99745329835768
2020-05-22,8.026618759501364
2020-05-25,8.062665190784474
2020-05-26,8.09570058587753
2020-05-27,8.127186315299902
2020-05-28,8.163462772870213
2020-05-29,8.19093338725451
2020-06-01,8.224215821466839
2020-06-02,8.264078386424643
2020-06-03,8.298356074219617
2020-06-04,8.337342414919922
2020-06-05,8.361510865538747
2020-06-08,8.397206130300436
2020-06-09,8.44047864502069
2020-06-10,8.477372034646384
2020-06-11,8.524262383833745
2020-06-12,8.582542580672913
2020-06-15,8.634336995696744
2020-06-16,8.722260141927691
2020-06-17,8.815782327949803
2020-06-18,8.905071629800936
2020-06-19,8.987965065512196
2020-06-22,9.056632715121388
2020-06-23,9.125364281843227
2020-06-24,9.205439334556756
2020-06-29,9.29137861082465
2020-06-30,9.375095639740632
2020-07-01,9.460153291943042
2020-07-02,9.537664562420328
2020-07-03,9.598511347110618
2020-07-06,9.688198013130641
2020-07-07,9.775474741282583
2020-07-08,9.871712803265284
2020-07-09,9.97378024790067
2020-07-10,10.079541938582615
2020-07-13,10.181633290330451
2020-07-14,10.275912129936424
2020-07-15,10.368283190805961
2020-07-16,10.460336088958616
2020-07-17,10.5471868914145
2020-07-20,10.638363122066837
2020-07-21,10.73398036835168
2020-07-22,10.833957160665397
2020-07-23,10.935905948196108
2020-07-24,11.043003398998051
2020-07-27,11.152904341981477
2020-07-28,11.258358724635366
2020-07-29,11.355539164014182
2020-07-30,11.458855003887033
2020-07-31,11.572815120268874
2020-08-03,11.687360843680313
2020-08-04,11.796301209251398
2020-08-05,11.901746205496334
2020-08-06,11.996913293005987
2020-08-07,12.086247557250433
2020-08-10,12.172781224799925
2020-08-11,12.25942425168373
2020-08-12,12.34771186381691
2020-08-13,12.432215626018063
2020-08-14,12.51870717076851
2020-08-17,12.607554842190229
2020-08-18,12.699836620528744
2020-08-19,12.798022305600757
2020-08-20,12.899136764588125
2020-08-21,13.005712587259424
