date,FCT_Cmf_1@10
2014-08-08,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-18,
2014-08-19,
2014-08-20,
2014-08-21,0.16943439659381967
2014-08-22,0.14474883870671026
2014-08-25,0.1856140065678435
2014-08-26,0.0938612428122193
2014-08-27,0.012290359044398074
2014-08-28,0.3745982635827343
2014-08-29,0.3012189978222779
2014-09-01,0.32931655099481016
2014-09-02,0.2103104230520171
2014-09-03,0.0626269174243955
2014-09-04,0.10303482823403158
2014-09-05,0.17836213572542306
2014-09-09,-0.1446625770021686
2014-09-10,-0.15343258789553255
2014-09-11,-0.1660508979842311
2014-09-12,-0.21948419995689467
2014-09-15,-0.25186315802895737
2014-09-16,-0.16591696808524464
2014-09-17,-0.2411167950658923
2014-09-18,-0.2072935834772907
2014-09-19,-0.3243076710047216
2014-09-22,-0.3781146030505249
2014-09-23,-0.20079298469909357
2014-09-24,-0.25537808731831935
2014-09-25,-0.4044003681777372
2014-09-26,-0.38695270578807667
2014-09-29,-0.39380981868059517
2014-09-30,-0.3185423066255429
2014-10-08,-0.3393850516339192
2014-10-09,-0.26640627463485517
2014-10-10,-0.22376896709591693
2014-10-13,-0.16058046950739444
2014-10-14,-0.22264670782846896
2014-10-15,-0.2701893131367356
2014-10-16,0.0127920756062337
2014-10-17,-0.02939982339525649
2014-10-20,-0.1030166699156975
2014-10-21,-0.18098371303499067
2014-10-22,-0.20722302281878593
2014-10-23,-0.2931939860798555
2014-10-24,-0.20854535402860777
2014-10-27,-0.13528330006693098
2014-10-28,-0.014424956709840843
2014-10-29,0.219467324431905
2014-10-30,-0.005458174883628102
2014-10-31,-0.18736465870243127
2014-11-03,-0.2733873370737352
2014-11-04,0.08435424382252071
2014-11-05,0.06312928087871
2014-11-06,0.056119337626618575
2014-11-07,0.03538951284096146
2014-11-10,0.059871196531182176
2014-11-11,0.06191670097489616
2014-11-12,0.06919666847531801
2014-11-13,0.1274608981470878
2014-11-14,0.3597171184722538
2014-11-17,0.42769248224299244
2014-11-18,0.06706698499163212
2014-11-19,0.572562955792768
2014-11-20,0.6345882367551354
2014-11-21,0.5364089604071065
2014-11-24,0.47510673411545445
2014-11-25,0.40890147182185754
2014-11-26,0.432637155378044
2014-11-27,0.4518164766276745
2014-11-28,0.456532716683801
2014-12-01,0.5214787076608215
2014-12-02,0.5930448631137979
2014-12-03,0.5328561240612433
2014-12-04,0.2738425966278354
2014-12-05,0.36124240032527966
2014-12-08,0.39764934574674876
2014-12-09,0.4569983082623924
2014-12-10,0.428030546613428
2014-12-11,0.15452145026359443
2014-12-12,0.07935416504927335
2014-12-15,-0.012955722140831885
2014-12-16,-0.07526344407254058
2014-12-17,-0.14813163166181884
2014-12-18,0.2123602151179142
2014-12-19,0.46199732903679025
2014-12-22,0.38438733477991743
2014-12-23,0.230689790586886
2014-12-24,-0.020559109560989382
2014-12-25,
2014-12-26,
2014-12-29,
2014-12-30,
2014-12-31,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-12,0.31750816272477606
2015-01-13,0.1895641629610726
2015-01-14,0.07074814105298093
2015-01-15,0.08634492218070548
2015-01-16,0.012932092730376482
2015-01-19,-0.10332410228249
2015-01-20,-0.15507668684867318
2015-01-21,-0.14968355931792002
2015-01-22,-0.14379017217319115
2015-01-23,-0.08998662521667213
2015-01-26,-0.41654977982770713
2015-01-27,-0.4900206016566972
2015-01-28,-0.26457164710378955
2015-01-29,-0.13055217064642943
2015-01-30,-0.04699272997636585
2015-02-02,-0.006369209490230359
2015-02-03,0.055553496128813384
2015-02-04,0.0247499333035995
2015-02-05,0.06618505892224004
2015-02-06,0.03382330319926109
2015-02-09,0.05597412984416356
2015-02-10,0.1215219403961201
2015-02-11,0.10393839066110212
2015-02-12,0.0800904469449501
2015-02-13,0.0472096710449941
2015-02-16,0.07347328894031963
2015-02-17,-0.0037736622790322844
2015-02-25,0.15997055094042706
2015-02-26,0.0006295555439677081
2015-02-27,0.029811536334364338
2015-03-02,0.22558629727394794
2015-03-03,0.22368102706258647
2015-03-04,0.04777843899447485
2015-03-05,0.04503871296707692
2015-03-06,0.019904869796207664
2015-03-09,0.041206851915313696
2015-03-10,0.09470257906739281
