date,Amihud@10
2014-08-08,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-18,
2014-08-19,
2014-08-20,
2014-08-21,
2014-08-22,1.120662893473842e-07
2014-08-25,1.3452613349041712e-07
2014-08-26,1.412823446465721e-07
2014-08-27,2.0552414192496653e-07
2014-08-28,2.3522170772243e-07
2014-08-29,2.503240833981824e-07
2014-09-01,2.6501884922111264e-07
2014-09-02,3.430264201101191e-07
2014-09-03,3.5633408207634244e-07
2014-09-04,3.242523027002163e-07
2014-09-05,3.839702414431144e-07
2014-09-09,4.309901545904045e-07
2014-09-10,4.25474181034124e-07
2014-09-11,6.98554597854844e-07
2014-09-12,9.56611646863054e-07
2014-09-15,1.288967575715414e-06
2014-09-16,1.8235213375464766e-06
2014-09-17,1.8961721417717506e-06
2014-09-18,2.200093975042646e-06
2014-09-19,3.1251099926346464e-06
2014-09-22,3.331826078748256e-06
2014-09-23,3.4326194494590577e-06
2014-09-24,4.192172165102842e-06
2014-09-25,4.180819634173259e-06
2014-09-26,4.157631516308896e-06
2014-09-29,4.1427307613225114e-06
2014-09-30,4.221178329693421e-06
2014-10-08,4.1121700719484666e-06
2014-10-09,4.613574557272297e-06
2014-10-10,4.140576739568268e-06
2014-10-13,4.41751263514159e-06
2014-10-14,4.8540120011748406e-06
2014-10-15,4.520359246597391e-06
2014-10-16,4.466955155246113e-06
2014-10-17,4.7461893766456856e-06
2014-10-20,4.943316038147215e-06
2014-10-21,4.702162104588823e-06
2014-10-22,5.514563449975062e-06
2014-10-23,5.945315931419373e-06
2014-10-24,5.787264440610205e-06
2014-10-27,5.7894430371634055e-06
2014-10-28,5.342365840886222e-06
2014-10-29,5.110900638142491e-06
2014-10-30,5.532958431780034e-06
2014-10-31,5.818074500449117e-06
2014-11-03,5.628643269546805e-06
2014-11-04,5.408075736502436e-06
2014-11-05,5.111091440283823e-06
2014-11-06,5.008763633122883e-06
2014-11-07,4.9338011813972365e-06
2014-11-10,4.964638955773982e-06
2014-11-11,5.119112332680683e-06
2014-11-12,5.338342968244037e-06
2014-11-13,4.72958422536547e-06
2014-11-14,3.895500216424091e-06
2014-11-17,5.963585479662075e-06
2014-11-18,5.9792324795499286e-06
2014-11-19,5.808625022774293e-06
2014-11-20,4.7480583899058645e-06
2014-11-21,4.548916169712406e-06
2014-11-24,4.037836421670386e-06
2014-11-25,4.676097729998411e-06
2014-11-26,4.613677130277332e-06
2014-11-27,4.904424466924166e-06
2014-11-28,5.479850736647665e-06
2014-12-01,3.115612301036721e-06
2014-12-02,3.0948138901293104e-06
2014-12-03,2.8279892786361604e-06
2014-12-04,2.849103744040192e-06
2014-12-05,3.5186897628433808e-06
2014-12-08,4.098868882526878e-06
2014-12-09,4.312095084490226e-06
2014-12-10,4.2952138647432e-06
2014-12-11,4.9677496909512785e-06
2014-12-12,7.47546020459114e-06
2014-12-15,1.2978547063710798e-05
2014-12-16,2.5412114645225794e-05
2014-12-17,2.7003971721392782e-05
2014-12-18,3.0290302096344308e-05
2014-12-19,2.9592835295763998e-05
2014-12-22,2.953642570140753e-05
2014-12-23,2.9935560046897594e-05
2014-12-24,3.0370584661872612e-05
2014-12-25,3.1259860485927344e-05
2014-12-26,2.8176723702563984e-05
2014-12-29,2.4041717686237193e-05
2014-12-30,3.7042054586202964e-05
2014-12-31,3.5458488516050615e-05
2015-01-05,0.00035832882571571004
2015-01-06,0.0003639129222088974
2015-01-07,0.00036791479844609017
2015-01-08,0.00036873308587858446
2015-01-09,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-09,0.0006415078040976017
2015-02-10,0.00040346857958565793
2015-02-11,0.0005101962353623806
2015-02-12,0.000529439397837596
2015-02-13,
2015-02-16,
2015-02-17,
2015-02-25,
2015-02-26,
2015-02-27,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-09,
2015-03-10,
2015-03-11,
2015-03-12,
2015-03-13,
2015-03-16,
2015-03-17,
