date,FCT_Demark_Ref_1@120
2014-08-08,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-18,
2014-08-19,
2014-08-20,
2014-08-21,
2014-08-22,
2014-08-25,
2014-08-26,
2014-08-27,
2014-08-28,
2014-08-29,
2014-09-01,
2014-09-02,
2014-09-03,
2014-09-04,
2014-09-05,
2014-09-09,
2014-09-10,
2014-09-11,
2014-09-12,
2014-09-15,
2014-09-16,
2014-09-17,
2014-09-18,
2014-09-19,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-29,
2014-09-30,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,
2014-10-31,
2014-11-03,
2014-11-04,
2014-11-05,
2014-11-06,
2014-11-07,
2014-11-10,
2014-11-11,
2014-11-12,
2014-11-13,
2014-11-14,
2014-11-17,
2014-11-18,
2014-11-19,
2014-11-20,
2014-11-21,
2014-11-24,
2014-11-25,
2014-11-26,
2014-11-27,
2014-11-28,
2014-12-01,
2014-12-02,
2014-12-03,
2014-12-04,
2014-12-05,
2014-12-08,
2014-12-09,
2014-12-10,
2014-12-11,
2014-12-12,
2014-12-15,
2014-12-16,
2014-12-17,
2014-12-18,
2014-12-19,
2014-12-22,
2014-12-23,
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-29,
2014-12-30,
2014-12-31,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,0.4127120296354068
2015-02-06,0.4195726574784945
2015-02-09,0.42702943449612946
2015-02-10,0.42206728683977174
2015-02-11,0.42328083783854414
2015-02-12,0.4250152976864694
2015-02-13,0.4197653388353132
2015-02-16,0.4232417593269216
2015-02-17,0.42574563742043403
2015-02-25,0.41936885240586974
2015-02-26,0.42110298728416423
2015-02-27,0.4140958786697118
2015-03-02,0.4140958786697118
2015-03-03,0.4008550330353678
2015-03-04,0.4177087651053794
2015-03-05,0.4177087651053794
2015-03-06,0.41485689675919807
2015-03-09,0.4182449967560018
2015-03-10,0.4193606634953057
2015-03-11,0.41210014164045444
2015-03-12,0.411129598590602
2015-03-13,0.42610696153095146
2015-03-16,0.4371619252729645
2015-03-17,0.4371619252729645
2015-03-18,0.44661342248637975
2015-03-19,0.4339208550579982
2015-03-20,0.44350518354187396
2015-03-23,0.44263381995133855
2015-03-24,0.431545924660784
2015-03-25,0.44696061669881204
2015-03-26,0.4583011004916031
2015-03-27,0.4540522717233743
2015-03-30,0.4364881432971503
2015-03-31,0.4569921526244069
2015-04-01,0.4601517633768832
2015-04-02,0.4568235511148933
2015-04-03,0.44459798624029306
2015-04-07,0.4325868978305839
2015-04-08,0.43357021082659564
2015-04-09,0.421583362938267
2015-04-10,0.40348899472987076
2015-04-13,0.38735004626448144
2015-04-14,0.3893770696983131
2015-04-15,0.392405728550782
2015-04-16,0.37818678599858035
2015-04-17,0.37675430941552135
2015-04-20,0.3748282747807793
2015-04-21,0.3826054912492368
2015-04-22,0.3840400897865293
2015-04-23,0.3834940637789217
2015-04-24,0.3834940637789217
2015-04-27,0.38929389503037576
2015-04-28,0.4039473748159239
2015-04-29,0.39275402724682357
2015-04-30,0.3944689393975352
2015-05-04,0.40835985611781794
2015-05-05,0.40147841908227544
2015-05-06,0.40147841908227544
2015-05-07,0.40247139937737575
2015-05-08,0.40120195988363216
2015-05-11,0.40536437736286923
2015-05-12,0.40536437736286923
2015-05-13,0.40322940622786346
2015-05-14,0.40453660436137084
2015-05-15,0.40453660436137084
2015-05-18,0.40453660436137084
2015-05-19,0.40482824464664974
2015-05-20,0.3921459264597453
2015-05-21,0.39171809161157006
2015-05-22,0.39171809161157006
2015-05-25,0.392194300879598
2015-05-26,0.3960819908969091
2015-05-27,0.3928797159148877
