date,FCT_Bias_1@40
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,0.4099509460406447
2015-05-27,-0.264510864021218
2015-05-28,-0.09095644926026256
2015-05-29,-0.40838135149292826
2015-06-01,-0.4008421052631579
2015-06-02,-0.20721854999475395
2015-06-03,-0.5211384647346006
2015-06-04,-0.8579172313145002
2015-06-05,-1.0651465798045603
2015-06-08,-0.8724349481700867
2015-06-09,-0.7034526583350985
2015-06-10,-0.6029733275032794
2015-06-11,-0.6391512054216199
2015-06-12,-1.4275289098461883
2015-06-15,-1.7612753623188406
2015-06-16,-2.447787610619469
2015-06-17,-2.466525473585128
2015-06-18,-2.1195522743510358
2015-06-19,-1.5042283298097252
2015-06-23,-1.354728536097044
2015-06-24,-1.7815604555367095
2015-06-25,-2.4894449715370017
2015-06-26,-2.8853632351186924
2015-06-29,-3.284412706229993
2015-06-30,-4.85019267822736
2015-07-01,-4.256482459227971
2015-07-02,-3.26617242616286
2015-07-03,-3.105718404613167
2015-07-06,-3.728179850925703
2015-07-07,-3.117857142857143
2015-07-08,-5.529391543485734
2015-07-09,-2.5602782911185997
2015-07-10,-2.5183035714285715
2015-07-13,-3.0341195831047725
2015-07-14,-1.9865896205843874
2015-07-15,-1.721684627226743
2015-07-16,-1.823239201005262
2015-07-17,-1.2581241590164673
2015-07-20,-0.6929175058359289
2015-07-21,-0.8688933546213817
2015-07-22,-1.7812760089865203
2015-07-23,-1.6323328385246758
2015-07-24,-1.8736567809313607
2015-07-27,-1.7165661366312248
2015-07-28,-0.8430595780899941
2015-07-29,0.12351256239921107
2015-07-30,-0.5225850558046111
2015-07-31,-0.5505164100524206
2015-08-03,-1.0128450892439675
2015-08-04,-0.9164994782868224
2015-08-05,-1.354359046930876
2015-08-06,-1.2940875123288351
2015-08-07,-1.1576984907756083
2015-08-10,-0.9169158265892344
2015-08-11,-0.5454741386476135
2015-08-12,-0.5346973564899795
2015-08-13,-0.7268997293859848
2015-08-14,-0.8999543499074625
2015-08-17,-0.7435364004880214
2015-08-18,-0.7538941440745616
2015-08-19,-0.6377922097301335
2015-08-20,-0.7326634147185896
2015-08-21,-1.3199498774662348
2015-08-24,-2.609442333693702
2015-08-25,-3.112687577512138
2015-08-26,-3.3406641658554648
2015-08-27,-3.3218933732654605
2015-08-28,-2.858611383552718
2015-08-31,-3.4253676256931023
2015-09-01,-3.249132131375726
2015-09-02,-3.4131639565413163
2015-09-07,-3.2590542411375774
2015-09-08,-3.097192788394511
2015-09-09,-2.909258027261168
2015-09-10,-2.547336744674378
2015-09-11,-2.11956124314443
2015-09-14,-2.4634741653008776
2015-09-15,-2.658659000618402
2015-09-16,-2.2024956526472494
2015-09-17,-2.2498875103437226
2015-09-18,-2.4661291102174236
2015-09-21,-2.6888827929531827
2015-09-22,-3.2993138449733186
2015-09-23,-3.390873162129949
2015-09-24,-3.2835261884825973
2015-09-25,-3.0242275758866155
2015-09-28,-3.659162327288323
2015-09-29,-3.655686344171562
2015-09-30,-3.5578377396750276
2015-10-08,-2.779814074614696
2015-10-09,-2.140599136736901
2015-10-12,-2.059724260291995
2015-10-13,-2.1615452400315687
2015-10-14,-2.5650708448706903
2015-10-15,-1.3251266167907305
2015-10-16,-1.7504285929835233
2015-10-19,-1.8340748668136293
2015-10-20,-1.605444404921814
2015-10-21,-1.3669084988699591
2015-10-22,-1.1870573921822738
2015-10-23,-1.0495958059226902
2015-10-26,-1.461271631833232
2015-10-27,-1.4795990800649899
2015-10-28,-2.553031568713036
2015-10-29,-2.7607875429670807
2015-10-30,-3.2968494378864155
2015-11-02,-3.104736333656062
2015-11-03,-3.2957220435602026
2015-11-04,-3.402651181937098
2015-11-05,-3.1620753210688344
2015-11-06,-3.9662782389966007
2015-11-09,-4.032194630172495
2015-11-10,-4.368188194636093
2015-11-11,-4.717627259253264
2015-11-12,-4.001237375507372
2015-11-13,-4.495025673940934
2015-11-16,-4.461450692746524
2015-11-17,-4.8807236631444075
