date,FCT_Dmi_Adx@80
2015-03-27,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-07,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-14,
2015-09-15,
2015-09-16,
2015-09-17,
2015-09-18,
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-08,
2015-10-09,
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,
2015-10-19,
2015-10-20,
2015-10-21,
2015-10-22,
2015-10-23,
2015-10-26,
2015-10-27,
2015-10-28,
2015-10-29,
2015-10-30,
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-09,
2015-11-10,
2015-11-11,
2015-11-12,
2015-11-13,
2015-11-16,
2015-11-17,
2015-11-18,
2015-11-19,14.398186449724886
2015-11-20,14.499381068068937
2015-11-23,14.61811165223789
2015-11-24,14.76770786397961
2015-11-25,14.924595883216202
2015-11-26,15.035060001513335
2015-11-27,15.20378051388278
2015-11-30,15.36572852477209
2015-12-01,15.513988777157573
2015-12-02,15.644370784543176
2015-12-03,15.784445329129891
2015-12-04,15.921937542633685
2015-12-07,16.058027258993487
2015-12-08,16.199663930041304
2015-12-09,16.35114872549358
2015-12-10,16.64021854142452
2015-12-11,16.894515467992576
2015-12-14,17.12216449724581
2015-12-15,17.314102295878186
2015-12-16,17.531710126727095
2015-12-17,17.68601832435614
2015-12-18,17.741361918387312
2015-12-21,17.775442037688606
2015-12-22,17.769563560298174
2015-12-23,17.676239818343035
2015-12-24,17.535286239709926
2015-12-25,17.40808142085702
2015-12-28,17.187185947714006
2015-12-29,17.022282210677098
2015-12-30,16.826731535891916
2015-12-31,16.637203995085198
2016-01-04,16.41575377889924
2016-01-05,16.196625158798334
2016-01-06,15.983128918476762
2016-01-07,15.849502266473497
2016-01-08,15.727795699027947
2016-01-11,15.66135288262701
2016-01-12,15.6174178168992
2016-01-13,15.515051354743665
2016-01-14,15.40050594944106
2016-01-15,15.27395239757079
2016-01-18,15.114101204391634
2016-01-19,14.92965067407141
2016-01-20,14.752331200406283
2016-01-21,14.508526820919235
2016-01-22,14.26972575674706
2016-01-25,14.058344246520232
2016-01-26,13.862234580066033
2016-01-27,13.715436174415624
2016-01-28,13.580393797521335
2016-01-29,13.412951773234758
2016-02-01,13.242627091078154
2016-02-02,13.07354092913308
2016-02-03,12.89885965569077
2016-02-04,12.75925626429022
2016-02-05,12.635809317747674
2016-02-15,12.501331176757791
2016-02-16,12.3729080981754
2016-02-17,12.22539862960976
2016-02-18,12.05514871249768
2016-02-19,11.891658113759537
2016-02-22,11.789413037356656
2016-02-23,11.758854054344383
2016-02-24,11.740546837344272
2016-02-25,11.745569669529303
2016-02-26,11.744933335056754
2016-02-29,11.773773199563722
2016-03-01,11.785738895637513
