date,Amihud@80
2018-11-27,
2018-11-28,
2018-11-29,
2018-11-30,
2018-12-03,
2018-12-04,
2018-12-05,
2018-12-06,
2018-12-07,
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-24,
2018-12-25,
2018-12-26,
2018-12-27,
2018-12-28,
2019-01-02,
2019-01-03,
2019-01-04,
2019-01-07,
2019-01-08,
2019-01-09,
2019-01-10,
2019-01-11,
2019-01-14,
2019-01-15,
2019-01-16,
2019-01-17,
2019-01-18,
2019-01-21,
2019-01-22,
2019-01-23,
2019-01-24,
2019-01-25,
2019-01-28,
2019-01-29,
2019-01-30,
2019-01-31,
2019-02-01,
2019-02-11,
2019-02-12,
2019-02-13,
2019-02-14,
2019-02-15,
2019-02-18,
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-25,
2019-02-26,
2019-02-27,
2019-02-28,
2019-03-01,
2019-03-04,
2019-03-05,
2019-03-06,
2019-03-07,
2019-03-08,
2019-03-11,
2019-03-12,
2019-03-13,
2019-03-14,
2019-03-15,
2019-03-18,
2019-03-19,
2019-03-20,
2019-03-21,
2019-03-22,
2019-03-25,
2019-03-26,
2019-03-27,
2019-03-28,0.019224162665021576
2019-03-29,0.019865885470660104
2019-04-01,0.020235851644511676
2019-04-02,0.02030928339269511
2019-04-03,0.02114462444520627
2019-04-04,0.02135284784933173
2019-04-08,0.022097459171682453
2019-04-09,0.022666796224926605
2019-04-10,0.022753400682884593
2019-04-11,0.02325210484732286
2019-04-12,0.02351036773339753
2019-04-15,0.02355752607657027
2019-04-16,0.023951523764383125
2019-04-17,0.02469325981879023
2019-04-18,0.02483667133539125
2019-04-19,0.025605593856439155
2019-04-22,0.02566732755590261
2019-04-23,0.027081087169479216
2019-04-24,0.0273271807138921
2019-04-25,0.02731040675901942
2019-04-26,0.028362224840173103
2019-04-29,0.028283416980962522
2019-04-30,0.03001381508940676
2019-05-06,0.033664096047029066
2019-05-07,0.034433759379960224
2019-05-08,0.03475212736353102
2019-05-09,0.036385039035253544
2019-05-10,0.037493309463868515
2019-05-13,0.03815196568852511
2019-05-14,0.03906994425380203
2019-05-15,0.03911656239906852
2019-05-16,0.038809573534017504
2019-05-17,0.03939665037185631
2019-05-20,0.03922778458365956
