date,Amihud@20
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,6.566628020696858e-09
2010-02-02,6.702031521317563e-09
2010-02-03,7.258148294323714e-09
2010-02-04,7.086194384187151e-09
2010-02-05,6.480445734369413e-09
2010-02-08,6.604066591468882e-09
2010-02-09,6.359587062537218e-09
2010-02-10,6.679961559606092e-09
2010-02-11,6.581457453793842e-09
2010-02-12,6.836671191972651e-09
2010-02-22,7.1970266260595295e-09
2010-02-23,7.214493178540892e-09
2010-02-24,7.082965552407998e-09
2010-02-25,6.730658315679328e-09
2010-02-26,6.6181107786691915e-09
2010-03-01,6.614513086045442e-09
2010-03-02,6.837990593938354e-09
2010-03-03,6.594452422241426e-09
2010-03-04,5.750756251473702e-09
2010-03-05,6.416973874055344e-09
2010-03-08,6.995000350806102e-09
2010-03-09,7.24240599212055e-09
2010-03-10,7.688956662799151e-09
2010-03-11,8.814238563273939e-09
2010-03-12,8.526929353614682e-09
2010-03-15,8.844536767117829e-09
2010-03-16,8.816771930804825e-09
2010-03-17,8.019745939447607e-09
2010-03-18,8.469743467983124e-09
2010-03-19,8.039201614017224e-09
2010-03-22,7.69411597996201e-09
2010-03-23,8.069763700877857e-09
2010-03-24,8.132159921072475e-09
2010-03-25,8.23037416964207e-09
2010-03-26,8.224054430404693e-09
2010-03-29,8.13285499974511e-09
2010-03-30,7.825092765553002e-09
2010-03-31,7.740575397179466e-09
2010-04-01,7.66052518201024e-09
2010-04-02,7.374694091685398e-09
2010-04-06,6.654538686813746e-09
2010-04-07,6.244655780991363e-09
2010-04-08,5.2968637903777676e-09
2010-04-09,4.0029055885422854e-09
2010-04-12,4.036869148878171e-09
2010-04-13,3.540586748975814e-09
2010-04-14,3.4657166440611162e-09
2010-04-15,3.5024271946226575e-09
2010-04-16,3.0209804495820333e-09
2010-04-19,3.343371627331123e-09
2010-04-20,3.5222308960876247e-09
2010-04-21,3.1470973113830003e-09
2010-04-22,3.122352234383749e-09
2010-04-23,3.0273199597851023e-09
2010-04-26,3.0096609895435723e-09
2010-04-27,3.075861662933462e-09
2010-04-28,2.9767848593008056e-09
2010-04-29,3.110471500063304e-09
2010-04-30,2.8408752070598285e-09
2010-05-04,2.862660943770903e-09
2010-05-05,2.838273296782695e-09
2010-05-06,2.831648793166682e-09
2010-05-07,3.2252666194256945e-09
2010-05-10,3.5183340796272598e-09
2010-05-11,3.46049521759379e-09
2010-05-12,3.6330926130453926e-09
2010-05-13,3.7047170029318154e-09
2010-05-14,3.844518828092929e-09
2010-05-17,4.426317450421938e-09
2010-05-18,4.352636786318696e-09
2010-05-19,4.027481371692362e-09
2010-05-20,4.039905808925474e-09
2010-05-21,3.943698870810721e-09
2010-05-24,4.22129232219397e-09
2010-05-25,4.450200946822818e-09
2010-05-26,4.692165059082827e-09
2010-05-27,4.666502686119868e-09
2010-05-28,4.748789390237079e-09
2010-05-31,4.90151940536826e-09
2010-06-01,4.4711223664406275e-09
2010-06-02,4.710152907672164e-09
2010-06-03,4.751595034433137e-09
2010-06-04,4.347359216645621e-09
2010-06-07,4.042268870161391e-09
2010-06-08,4.219768202405912e-09
2010-06-09,4.383137791658373e-09
2010-06-10,4.589647163915864e-09
2010-06-11,4.6746474430268374e-09
2010-06-17,4.010795945486023e-09
2010-06-18,3.888896890262952e-09
2010-06-21,4.339610366369857e-09
2010-06-22,4.2881823252369325e-09
2010-06-23,4.289747469293448e-09
2010-06-24,3.9482371923619444e-09
2010-06-25,3.6386070817011936e-09
2010-06-28,3.413843172991905e-09
2010-06-29,4.006778667456432e-09
2010-06-30,3.992740981135649e-09
2010-07-01,3.865110613086597e-09
2010-07-02,4.284687154958221e-09
2010-07-05,4.428143256308518e-09
2010-07-06,4.399608396409112e-09
2010-07-07,4.43772043606678e-09
2010-07-08,4.377396543505159e-09
2010-07-09,4.154508968900541e-09
2010-07-12,3.980973059721488e-09
2010-07-13,3.678586707117804e-09
2010-07-14,3.4113245736351615e-09
2010-07-15,3.4221007598032953e-09
2010-07-16,3.6313382284797634e-09
2010-07-19,3.1703110102802733e-09
2010-07-20,3.480719673389471e-09
2010-07-21,3.736847393299816e-09
2010-07-22,3.707914944046115e-09
2010-07-23,3.898275202267116e-09
2010-07-26,4.1669691510172e-09
2010-07-27,3.7281705640190414e-09
2010-07-28,3.981758007355405e-09
2010-07-29,4.1380779153348875e-09
2010-07-30,4.039397008755498e-09
2010-08-02,4.121725186053499e-09
2010-08-03,4.170593998222529e-09
2010-08-04,4.2775469865658455e-09
2010-08-05,4.308141913383991e-09
2010-08-06,4.489091095887401e-09
2010-08-09,4.832757471386664e-09
2010-08-10,5.256295766257574e-09
2010-08-11,5.316171771477709e-09
2010-08-12,5.561071390082085e-09
2010-08-13,5.55997416603425e-09
2010-08-16,5.730741711275675e-09
2010-08-17,5.572531150803741e-09
2010-08-18,6.021292914932437e-09
2010-08-19,6.039037276046778e-09
2010-08-20,6.0989729171935845e-09
2010-08-23,5.819412718997846e-09
2010-08-24,5.689477842201978e-09
2010-08-25,5.322376542923226e-09
2010-08-26,5.356486941951075e-09
2010-08-27,5.154562011472643e-09
2010-08-30,5.210764576928295e-09
2010-08-31,5.186787986628478e-09
2010-09-01,5.210430762578212e-09
2010-09-02,5.126173859444511e-09
2010-09-03,4.969220200461444e-09
2010-09-06,4.743512425159315e-09
2010-09-07,4.401914873341998e-09
2010-09-08,4.2397353789156115e-09
2010-09-09,4.214248521108147e-09
2010-09-10,4.315710225556472e-09
2010-09-13,4.182243285554916e-09
2010-09-14,4.050831151187134e-09
2010-09-15,3.441153943117217e-09
2010-09-16,3.3944048638912974e-09
2010-09-17,3.2061205490545353e-09
2010-09-20,3.322558761726987e-09
2010-09-21,4.017585469967156e-09
2010-09-27,4.148015152710658e-09
2010-09-28,4.377928690098976e-09
2010-09-29,4.710833026629918e-09
2010-09-30,4.400202985897103e-09
2010-10-08,5.0535484708256675e-09
2010-10-11,5.876616599329172e-09
2010-10-12,6.199891142236025e-09
2010-10-13,6.445449230408514e-09
2010-10-14,6.588611358555373e-09
2010-10-15,6.878603492585903e-09
2010-10-18,7.009359989075174e-09
2010-10-19,7.126617991130962e-09
2010-10-20,6.7958201189330085e-09
2010-10-21,6.768231137171375e-09
2010-10-22,6.908405131124318e-09
2010-10-25,8.251120914374369e-09
2010-10-26,8.287501401363974e-09
2010-10-27,8.56542288598804e-09
2010-10-28,9.028026656873468e-09
2010-10-29,9.628223484603367e-09
2010-11-01,9.696652852302573e-09
