date,FCT_Bias_1@120
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,-1.2965796237719533
2010-07-06,-1.3944855018966147
2010-07-07,-1.473306009665558
2010-07-08,-1.2783096910954823
2010-07-09,-1.2016074612847039
2010-07-12,-1.3782776177917908
2010-07-13,-1.3117017573258618
2010-07-14,-1.561468038564079
2010-07-15,-1.4876413306424185
2010-07-16,-0.9610269717736017
2010-07-19,-0.9302590875153899
2010-07-20,-0.2523900470875749
2010-07-21,-0.48507815808325383
2010-07-22,-0.38781693973215403
2010-07-23,-0.07805467336033498
2010-07-26,0.48694972367302886
2010-07-27,0.2486554342307245
2010-07-28,0.9212576171746379
2010-07-29,1.3326868145547301
2010-07-30,1.8582700559019323
2010-08-02,2.9360698536611247
2010-08-03,2.7464035100956528
2010-08-04,2.224612686389278
2010-08-05,2.4447059492563596
2010-08-06,2.8120047670276316
2010-08-09,3.5896118497788714
2010-08-10,2.9574123652703475
2010-08-11,3.245860490899868
2010-08-12,2.8765157822617584
2010-08-13,3.390677288672867
2010-08-16,3.6649881555164026
2010-08-17,3.5808318945486377
2010-08-18,3.163284286674699
2010-08-19,3.4546953744886126
2010-08-20,2.4853676128478814
2010-08-23,2.342799214356018
2010-08-24,2.337183479356332
2010-08-25,2.6665506695178784
2010-08-26,3.3863316749595853
2010-08-27,3.779282468391081
2010-08-30,5.956354836371053
2010-08-31,5.666428085379213
2010-09-01,6.4238222525488196
2010-09-02,6.581573176227627
2010-09-03,6.449830951300425
2010-09-06,7.179916803623655
2010-09-07,7.4790756166369485
2010-09-08,7.471542478981628
2010-09-09,6.606874889388846
2010-09-10,7.851570746945465
2010-09-13,7.949279049957936
2010-09-14,7.5695952109950335
2010-09-15,7.207588536269531
2010-09-16,7.292287084180151
2010-09-17,7.848893492259084
2010-09-20,8.500124322488576
2010-09-21,6.663796757253303
2010-09-27,7.0417898259243445
2010-09-28,8.75833735861989
2010-09-29,7.343767845556719
2010-09-30,7.606962298611244
2010-10-08,8.855439650632155
2010-10-11,11.360895524573428
2010-10-12,10.25950676304959
2010-10-13,11.114841018467208
2010-10-14,12.74864446940931
2010-10-15,14.270929112503044
2010-10-18,13.41167039390089
2010-10-19,15.450076415836516
2010-10-20,16.14912006005153
2010-10-21,15.690251547822472
2010-10-22,16.485457509770193
2010-10-25,18.82553275157096
2010-10-26,18.630097524962785
2010-10-27,16.584770243401145
2010-10-28,18.769425398067938
2010-10-29,13.833601688152006
2010-11-01,14.351752544655511
2010-11-02,14.441049680503571
2010-11-03,16.671705696112447
2010-11-04,16.77626097384299
2010-11-05,19.441757330476623
2010-11-08,19.2075689177768
2010-11-09,20.15470044476148
2010-11-10,18.42709492030737
2010-11-11,17.331762628557506
2010-11-12,13.535927977035621
2010-11-15,7.9931534358121485
2010-11-16,8.708520855931502
2010-11-17,6.718027129030292
2010-11-18,7.967563250734731
2010-11-19,8.246660513357819
2010-11-22,6.404936349962432
2010-11-23,6.080997249713314
2010-11-24,7.58986366602463
2010-11-25,6.914083716949675
2010-11-26,6.1518114143288525
2010-11-29,6.645393180068207
2010-11-30,6.9709021476721365
2010-12-01,7.2949208567899655
2010-12-02,7.0678787793699565
2010-12-03,6.983748774057387
2010-12-06,7.347887627832251
2010-12-07,7.378805092784736
2010-12-08,5.411667774671215
2010-12-09,5.723065816215498
2010-12-10,6.061777260339621
2010-12-13,7.2034249590223585
2010-12-14,7.194764500178714
2010-12-15,5.9727819727731015
2010-12-16,6.737543751988419
2010-12-17,7.373059889249367
2010-12-20,8.124118511428678
2010-12-21,8.502010713903376
2010-12-22,8.589249826669057
2010-12-23,9.762370982000009
2010-12-24,10.681427538016665
2010-12-27,9.820818768614869
2010-12-28,10.643805680899385
2010-12-29,10.12642073830763
2010-12-30,9.992071894833664
2010-12-31,7.694555518350996
2011-01-04,8.577064339538529
2011-01-05,8.22991612311288
2011-01-06,7.997124155361915
2011-01-07,5.504939248767631
2011-01-10,5.9803350148656005
2011-01-11,6.185368920558207
2011-01-12,6.899904030212308
2011-01-13,6.681321890075605
2011-01-14,7.104498095076105
2011-01-17,6.551514395392364
2011-01-18,6.18180357788374
2011-01-19,6.59752236238384
2011-01-20,6.285983464761948
2011-01-21,6.8949851174531185
2011-01-24,6.89525833050629
2011-01-25,6.133954751903298
2011-01-26,6.020334713226098
2011-01-27,7.00524918977621
2011-01-28,6.611110310761362
2011-01-31,7.292721536459268
2011-02-01,7.36772791945549
2011-02-09,6.751932786805259
2011-02-10,7.477829779304885
2011-02-11,7.456735217877351
2011-02-14,6.801158922895189
2011-02-15,6.522171704328321
2011-02-16,6.228633290833372
2011-02-17,5.463992447723472
2011-02-18,4.749585544826633
2011-02-21,4.70240940806752
2011-02-22,4.394515230430729
2011-02-23,4.350362827491681
2011-02-24,3.1734621624088577
2011-02-25,3.5936792997787483
2011-02-28,4.209658772852908
2011-03-01,4.116930006890619
2011-03-02,4.144969800562069
