date,Amihud@10
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,2.4506400009317146e-07
2019-10-17,3.283105825318201e-07
2019-10-18,3.629262001495756e-07
2019-10-21,3.98085895070497e-07
2019-10-22,4.059765582505521e-07
2019-10-23,4.3661156761758867e-07
2019-10-24,4.039524869647806e-07
2019-10-25,4.0998345472930194e-07
2019-10-28,4.2843677815303694e-07
2019-10-29,3.4863456040562125e-07
2019-10-30,3.6431334422895625e-07
2019-10-31,3.535596174196683e-07
2019-11-01,3.2640886171846565e-07
2019-11-04,3.169830639460472e-07
2019-11-05,3.406891872226909e-07
2019-11-06,3.2651688800626606e-07
2019-11-07,3.17768159761766e-07
2019-11-08,4.141839489909989e-07
2019-11-11,4.812913721314325e-07
2019-11-12,5.288547942162232e-07
2019-11-13,4.952099749845987e-07
2019-11-14,4.224315125257472e-07
2019-11-15,4.128423337676529e-07
2019-11-18,4.0589142239554587e-07
2019-11-19,3.8529435390198653e-07
2019-11-20,3.904704775196284e-07
2019-11-21,4.0525646893275164e-07
2019-11-22,3.489055897956647e-07
2019-11-25,2.54702611543281e-07
2019-11-26,3.0567788468552306e-07
2019-11-27,3.6437974830872686e-07
2019-11-28,4.293976507356516e-07
2019-11-29,4.984569917783128e-07
2019-12-02,5.203896895827561e-07
2019-12-03,5.878851953927067e-07
2019-12-04,6.526721274838351e-07
2019-12-05,6.418948479168983e-07
2019-12-06,6.081142111375941e-07
2019-12-09,6.098605231808771e-07
2019-12-10,5.483386724668598e-07
2019-12-11,5.386900860316439e-07
2019-12-12,4.7586488439184375e-07
2019-12-13,4.3134564948283504e-07
2019-12-16,3.9199577026743914e-07
2019-12-17,3.4771644825984586e-07
2019-12-18,2.6567996622735816e-07
2019-12-19,3.3217893125232867e-07
2019-12-20,3.3711543024849796e-07
2019-12-23,4.050708379046001e-07
2019-12-24,4.351027732571374e-07
2019-12-25,4.524721276543406e-07
