date,FCT_Bias_1@80
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-30,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-30,
2019-12-31,
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,-3.0673799526068404
2020-02-03,-5.964606304391254
2020-02-04,-4.826330575103156
2020-02-05,-4.737721268810302
2020-02-06,-4.5048311082960115
2020-02-07,-4.341708424669544
2020-02-10,-4.154875211248891
2020-02-11,-3.5274074056144773
2020-02-12,-2.9091661340778376
2020-02-13,-3.0492578377401514
2020-02-14,-3.7092764203296804
2020-02-17,-3.442612369770933
2020-02-18,-3.8774768873503898
2020-02-19,-4.2607551401983255
2020-02-20,-3.8208022533989867
2020-02-21,-4.017947457748282
2020-02-24,-4.496839221437559
2020-02-25,-4.962126245847176
2020-02-26,-6.418981138093295
2020-02-27,-6.169039393052787
2020-02-28,-7.054671292827295
2020-03-02,-5.975698500303447
2020-03-03,-5.692563873698714
