date,FCT_Ac_Tr_1@10
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,-1.0828747628083517
2015-06-01,-1.1665244969378559
2015-06-02,-1.1243083400160483
2015-06-03,-1.0827664399093055
2015-06-04,-1.0661892675851956
2015-06-05,-1.0246968121968212
2015-06-08,-0.9710449553877734
2015-06-09,-0.944322709163361
2015-06-10,-0.7689391000775639
2015-06-11,-0.6623910200522826
2015-06-12,-0.437720218120815
2015-06-15,-0.26252349624061455
2015-06-16,-0.060950605778196595
2015-06-17,0.12044677734372948
2015-06-18,0.31783893985730455
2015-06-19,0.3856106106106204
2015-06-23,0.3344965104686035
2015-06-24,0.28192635270539895
2015-06-25,0.31247519841270116
2015-06-26,0.3471305418719077
2015-06-29,0.39099423631126423
2015-06-30,0.49891930835734416
2015-07-01,0.6156490649064871
2015-07-02,0.5830714285714522
2015-07-03,0.5399091409691599
2015-07-06,0.6133298755186695
2015-07-07,0.7969591097308596
2015-07-08,0.7383474576271206
2015-07-09,0.7811531007751794
2015-07-10,0.8088257292445783
2015-07-13,0.9001351351351571
2015-07-14,0.9122014637904449
2015-07-15,0.8890241564417047
2015-07-16,0.9088601532566954
2015-07-17,0.9180093344155763
2015-07-20,0.8530858676207406
2015-07-21,0.6397875816993601
2015-07-22,0.5048124231242501
2015-07-23,0.2970338983051272
2015-07-24,0.15873493975905256
2015-07-27,-0.0358834586466481
2015-07-28,-0.1082735247209068
2015-07-29,-0.06454582651389666
2015-07-30,-0.041217845659112184
2015-07-31,-0.07139249639253467
2015-08-03,-0.12564866760170948
2015-08-04,-0.09182758620691255
2015-08-05,-0.05062499999997226
2015-08-06,-0.10989436619720651
2015-08-07,-0.19925939306361204
2015-08-10,-0.254863165680493
2015-08-11,-0.4106802721088407
2015-08-12,-0.567843749999971
2015-08-13,-0.6879350040873432
2015-08-14,-0.7919956472650969
2015-08-17,-0.7704482359415877
