date,Amihud@5
2013-09-06,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,1.7592735027875792e-07
2013-09-16,1.7839859478308862e-07
2013-09-17,1.8939247978232685e-07
2013-09-18,1.3605776304767694e-07
2013-09-23,1.4452731373411057e-07
2013-09-24,1.3758265986822503e-07
2013-09-25,1.0838517922973703e-07
2013-09-26,1.316000611829816e-07
2013-09-27,2.333725273242099e-07
2013-09-30,2.6170889249650375e-07
2013-10-08,3.016499467645493e-07
2013-10-09,3.3765608619948294e-07
2013-10-10,2.9497639116645854e-07
2013-10-11,2.6116381239502615e-07
2013-10-14,3.3754804561519326e-07
2013-10-15,4.545480636322466e-07
2013-10-16,4.3975977758594473e-07
2013-10-17,5.360863083155129e-07
2013-10-18,5.475718112772593e-07
2013-10-21,4.570783605980107e-07
2013-10-22,3.8662619154901887e-07
2013-10-23,3.9095836431080947e-07
2013-10-24,4.900345155390521e-07
2013-10-25,4.901529476688324e-07
2013-10-28,4.5773400793268755e-07
2013-10-29,5.032749982667539e-07
2013-10-30,4.98171383240914e-07
2013-10-31,4.828515093884493e-07
2013-11-01,5.172987376611063e-07
2013-11-04,7.085852219293594e-07
2013-11-05,7.113683240499159e-07
2013-11-06,7.942933713705148e-07
2013-11-07,8.737015453030165e-07
2013-11-08,1.1220279576762807e-06
2013-11-11,1.219506603094552e-06
2013-11-12,1.2238247354372868e-06
2013-11-13,1.266931009133338e-06
2013-11-14,1.1082572884806485e-06
2013-11-15,9.27810087795387e-07
2013-11-18,6.311340402531311e-07
2013-11-19,7.334100068243717e-07
2013-11-20,6.515659597580938e-07
2013-11-21,7.298829102580843e-07
2013-11-22,7.047606275628944e-07
2013-11-25,1.0370670289814321e-06
2013-11-26,9.031068575890743e-07
2013-11-27,1.1809108581388427e-06
2013-11-28,1.2468792595537617e-06
2013-11-29,1.0909261142009426e-06
2013-12-02,1.2301841455745972e-06
2013-12-03,1.2590320356262854e-06
2013-12-04,1.0181902107040774e-06
2013-12-05,9.22407862521943e-07
2013-12-06,1.026645202520011e-06
2013-12-09,8.100729365495558e-07
2013-12-10,9.421654969352678e-07
2013-12-11,9.063821119644323e-07
2013-12-12,9.102538462451085e-07
2013-12-13,8.882294366168098e-07
2013-12-16,1.150179685183402e-06
2013-12-17,1.0106732845532368e-06
2013-12-18,1.0542347602023103e-06
2013-12-19,9.294950189612615e-07
2013-12-20,8.544064818113861e-07
2013-12-23,5.101277157467265e-07
2013-12-24,4.089976788497212e-07
2013-12-25,4.3100686720499024e-07
2013-12-26,5.419380083191447e-07
2013-12-27,6.560278105154813e-07
2013-12-30,7.362381742677128e-07
2013-12-31,7.072151023441987e-07
2014-01-02,9.741999516941738e-07
2014-01-03,8.481644074211894e-07
2014-01-06,8.038197370730894e-07
2014-01-07,7.119176804416097e-07
2014-01-08,9.187146497856535e-07
2014-01-09,6.530476494842302e-07
2014-01-10,6.548956941612523e-07
2014-01-13,6.885034042279633e-07
2014-01-14,5.37218056063573e-07
2014-01-15,5.295535619385812e-07
2014-01-16,5.94262140586686e-07
2014-01-17,5.764889842860438e-07
2014-01-20,6.827519046360494e-07
2014-01-21,8.671511955806968e-07
2014-01-22,7.902901360949286e-07
2014-01-23,7.429959853224309e-07
2014-01-24,9.20157707427036e-07
2014-01-27,9.327342159813667e-07
2014-01-28,9.251317000525578e-07
2014-01-29,9.170293881485958e-07
2014-01-30,1.1936501463413012e-06
2014-02-07,1.502764464565362e-06
2014-02-10,1.505980414611987e-06
2014-02-11,1.485726134833524e-06
2014-02-12,1.4668948679510831e-06
2014-02-13,1.2509800778306045e-06
2014-02-14,8.230046501722106e-07
2014-02-17,9.690888906461497e-07
2014-02-18,1.103139176524045e-06
2014-02-19,1.0937813771314099e-06
2014-02-20,9.428082850807874e-07
2014-02-21,9.168009501075862e-07
2014-02-24,8.802961838491196e-07
2014-02-25,9.720833679750614e-07
2014-02-26,1.1298429606215542e-06
2014-02-27,1.3034524296830779e-06
2014-02-28,1.316028135632368e-06
2014-03-03,1.3038329202915266e-06
2014-03-04,1.2472669341115208e-06
2014-03-05,1.0630356099131482e-06
2014-03-06,9.661813496980125e-07
2014-03-07,1.0918983316372e-06
2014-03-10,9.124041048224359e-07
2014-03-11,6.118390165295042e-07
2014-03-12,6.137121515355951e-07
2014-03-13,6.175350065664028e-07
2014-03-14,5.472526336907118e-07
2014-03-17,6.649120243440414e-07
2014-03-18,8.95051573482283e-07
2014-03-19,8.55811488214611e-07
2014-03-20,7.054965266094066e-07
2014-03-21,6.43396763958262e-07
2014-03-24,5.040746407748375e-07
2014-03-25,2.7348221248922904e-07
2014-03-26,4.1494933065211436e-07
2014-03-27,4.729823036535182e-07
2014-03-28,4.4540562509876486e-07
2014-03-31,3.708391767793523e-07
2014-04-01,5.12378815835421e-07
2014-04-02,5.995025783083514e-07
2014-04-03,7.012882375203821e-07
2014-04-04,7.515774196944036e-07
2014-04-08,7.124877681450274e-07
2014-04-09,6.659647031971822e-07
2014-04-10,6.999165820858801e-07
2014-04-11,7.443977645712332e-07
2014-04-14,9.255187474722437e-07
2014-04-15,1.0223617578346398e-06
2014-04-16,9.524543589659968e-07
2014-04-17,7.921679735737193e-07
2014-04-18,7.431496247128574e-07
2014-04-21,6.244454317776781e-07
2014-04-22,8.316562418373994e-07
2014-04-23,8.690870920591249e-07
2014-04-24,9.78434978682826e-07
2014-04-25,9.380677114385179e-07
2014-04-28,8.226249340405091e-07
2014-04-29,9.33676972857325e-07
2014-04-30,1.0826048110876332e-06
2014-05-05,9.019085809694194e-07
2014-05-06,9.962846217934714e-07
2014-05-07,1.0453711218431753e-06
2014-05-08,7.641334256863106e-07
2014-05-09,8.200684639757328e-07
2014-05-12,8.531442094109435e-07
2014-05-13,9.475360385209126e-07
2014-05-14,1.143404609203433e-06
2014-05-15,1.2855408164571126e-06
2014-05-16,1.2595559637331096e-06
2014-05-19,1.2330034254578411e-06
2014-05-20,1.0560973505316574e-06
2014-05-21,9.618487675563995e-07
2014-05-22,6.925817817757007e-07
2014-05-23,4.0116190120162766e-07
2014-05-26,4.0828571937782185e-07
2014-05-27,4.701447047761035e-07
2014-05-28,5.436251888633712e-07
2014-05-29,5.36175299945174e-07
2014-05-30,7.992225800217432e-07
2014-06-03,7.526540880757147e-07
2014-06-04,6.932634461064024e-07
2014-06-05,5.940109490789848e-07
2014-06-06,5.873740549567584e-07
2014-06-09,4.326234802372398e-07
2014-06-10,4.6261459636054077e-07
2014-06-11,3.9597090048914723e-07
2014-06-12,4.2469329847492e-07
2014-06-13,4.541687488258081e-07
2014-06-16,5.42120245816312e-07
2014-06-17,5.892166344643858e-07
2014-06-18,5.158393952807e-07
2014-06-19,3.7424747483461846e-07
2014-06-20,3.896198441026999e-07
2014-06-23,2.3804782254212142e-07
2014-06-24,1.5661464389713577e-07
2014-06-25,2.9070837450295786e-07
2014-06-26,3.066322298807888e-07
2014-06-27,3.1204118722476517e-07
2014-06-30,4.487593850260143e-07
2014-07-01,7.677390418843083e-07
2014-07-02,7.807209234785031e-07
2014-07-03,9.648384602390914e-07
2014-07-04,1.023813512314051e-06
2014-07-07,1.0048022054394483e-06
2014-07-08,7.17580456672713e-07
2014-07-09,7.088620463998623e-07
2014-07-10,6.30073347691595e-07
2014-07-11,7.114466104960928e-07
