date,FCT_Dmi_Adxr@40
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,21.057808516254095
2010-07-05,21.110274804029608
2010-07-06,21.246832738765953
2010-07-07,21.287884059634578
2010-07-08,21.334827207496076
2010-07-09,21.41068055768571
2010-07-12,21.44815176746269
2010-07-13,21.512826291553388
2010-07-14,21.716968631839016
2010-07-15,21.68695165805052
2010-07-16,21.64216040423102
2010-07-19,21.69047774496502
2010-07-20,21.772197288983698
2010-07-21,21.87014369682956
2010-07-22,21.912485071581713
2010-07-23,21.90366330124678
2010-07-26,21.89090930211146
2010-07-27,21.739834804767806
2010-07-28,21.60607736035677
2010-07-29,21.433295805175494
2010-07-30,21.319245268786005
2010-08-02,21.189290600249258
2010-08-03,20.972662671410163
2010-08-04,20.779764203352798
2010-08-05,20.72498956187772
2010-08-06,20.69424282199177
2010-08-09,20.885178678744186
2010-08-10,21.082942157817577
2010-08-11,21.261863920480568
2010-08-12,21.39255349196886
2010-08-13,21.651799868919014
2010-08-16,21.959499935332687
2010-08-17,22.216115903084216
2010-08-18,22.464294842357006
2010-08-19,22.611729227386153
2010-08-20,22.613374683194294
2010-08-23,22.700247518804215
2010-08-24,22.888921995298944
2010-08-25,23.141579386105
2010-08-26,23.38745023825843
2010-08-27,23.658984765660584
2010-08-30,24.014361659688063
2010-08-31,24.33339243104306
2010-09-01,24.636836608092615
2010-09-02,24.932434473763372
2010-09-03,25.275944814546996
2010-09-06,25.661577189812384
2010-09-07,26.07008377036952
2010-09-08,26.452206754042912
2010-09-09,26.519407898387144
2010-09-10,26.558997226013055
2010-09-13,26.555924495717985
2010-09-14,26.62380936174557
2010-09-15,26.687149632806992
2010-09-16,26.70797927981713
2010-09-17,26.69315550594073
2010-09-20,26.753776522760255
2010-09-21,26.750664337755694
2010-09-27,26.8781892447682
2010-09-28,26.96148622838632
2010-09-29,26.973806716121913
2010-09-30,26.914641493063886
2010-10-08,26.778510407674418
2010-10-11,26.737413252212825
2010-10-12,26.54739026009228
2010-10-13,26.31742655996573
2010-10-14,26.066816097838906
2010-10-15,25.821271598814157
2010-10-18,25.53463876601164
2010-10-19,25.366857564715936
2010-10-20,25.178533346333424
2010-10-21,25.160853508031177
2010-10-22,25.185801454387253
2010-10-25,25.289479480528502
2010-10-26,25.3513568602977
2010-10-27,25.29673889361687
2010-10-28,25.262927791940466
2010-10-29,25.168262246960502
2010-11-01,25.05356872837485
2010-11-02,24.961599385152667
2010-11-03,24.848631986269133
2010-11-04,24.770921107975205
2010-11-05,24.735535290338184
2010-11-08,24.83822687750915
2010-11-09,25.005579794059226
2010-11-10,25.19765429171077
2010-11-11,25.393350952724084
2010-11-12,25.487265863328297
2010-11-15,25.498036339574345
2010-11-16,25.760653042371246
2010-11-17,25.99752772397318
2010-11-18,26.16638316405492
2010-11-19,26.266681713940446
2010-11-22,26.381127320809778
2010-11-23,26.470705201040957
2010-11-24,26.675939361690396
2010-11-25,26.83304865770108
2010-11-26,26.920442841696648
2010-11-29,26.899238986677126
2010-11-30,26.906607271943436
2010-12-01,26.900799564004465
2010-12-02,26.834788015561276
2010-12-03,26.764685893637136
2010-12-06,26.635394185781024
2010-12-07,26.356727498601387
2010-12-08,26.0212161798598
2010-12-09,25.54993412535501
2010-12-10,25.05475789695044
2010-12-13,24.65258091219576
2010-12-14,24.316718627182944
2010-12-15,23.97077926086439
2010-12-16,23.576442275039234
2010-12-17,23.277519813823414
2010-12-20,22.92637528199031
2010-12-21,22.6164879624419
2010-12-22,22.51605743310248
2010-12-23,22.467521232417333
2010-12-24,22.449007815023123
2010-12-27,22.382772662143466
2010-12-28,22.325403992620927
2010-12-29,22.150279306613253
2010-12-30,21.859129676357746
2010-12-31,21.553916872644585
2011-01-04,21.200115230314807
2011-01-05,20.86280784797213
2011-01-06,20.524934401029146
2011-01-07,20.13400784244451
2011-01-10,19.82062437084725
2011-01-11,19.594405696944467
2011-01-12,19.529444956398216
2011-01-13,19.629340484507463
2011-01-14,19.811144371383573
2011-01-17,19.932197328895995
2011-01-18,20.048766243852008
2011-01-19,20.242521924392452
2011-01-20,20.447356226381928
2011-01-21,20.49948949894578
2011-01-24,20.701877354921944
2011-01-25,20.767315541008287
2011-01-26,20.67289111694533
2011-01-27,20.6161421544074
2011-01-28,20.5607151401327
2011-01-31,20.565584416664098
2011-02-01,20.4906797877253
2011-02-09,20.482323623865582
2011-02-10,20.55238476172119
2011-02-11,20.627546636096735
2011-02-14,20.685938447712907
2011-02-15,20.724677981846334
2011-02-16,20.586044727156533
2011-02-17,20.518111421641862
2011-02-18,20.38031835798783
2011-02-21,20.153632902885974
2011-02-22,19.835136779167968
2011-02-23,19.409649378289195
2011-02-24,19.079498467015576
2011-02-25,18.817391238398827
2011-02-28,18.576264705274866
2011-03-01,18.3249344618374
2011-03-02,18.060677594237447
2011-03-03,17.73983517893058
2011-03-04,17.36993926179239
2011-03-07,16.892992431162504
