date,FCT_Cci@180
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-18,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-27,
2010-09-28,
2010-09-29,-10.39644459754297
2010-09-30,-21.872454326429022
2010-10-08,-8.866609035466915
2010-10-11,22.575179117828334
2010-10-12,26.053023574110934
2010-10-13,40.95549364384545
2010-10-14,51.06192040984016
2010-10-15,51.23739996333166
2010-10-18,47.174240885402874
2010-10-19,56.02828412056341
2010-10-20,43.102323970116466
2010-10-21,60.3913337763552
2010-10-22,83.0802178347135
2010-10-25,114.47748306282922
2010-10-26,124.26858597226094
2010-10-27,110.30661387456048
2010-10-28,93.31657480860474
2010-10-29,64.43348792538544
2010-11-01,76.6289030269087
2010-11-02,72.27973547775576
2010-11-03,73.77670345661798
2010-11-04,80.51626574832001
2010-11-05,114.54186389438559
2010-11-08,100.20579644956496
2010-11-09,102.36224073885398
2010-11-10,102.3405714198152
2010-11-11,107.60028773389577
2010-11-12,76.29355388874042
2010-11-15,24.52127436464886
2010-11-16,7.415414074680391
2010-11-17,-25.89163822267082
2010-11-18,-23.61563009217432
2010-11-19,-14.162268773363683
2010-11-22,-17.227620234648903
2010-11-23,-41.67455230927681
2010-11-24,-39.75698033768141
2010-11-25,-37.53275463460129
2010-11-26,-41.28245922959066
2010-11-29,-34.81525150863207
2010-11-30,-40.8033835069674
2010-12-01,-31.216711289772366
2010-12-02,-2.8946119453278363
2010-12-03,0.725509730038891
2010-12-06,6.901812761512054
2010-12-07,6.99279533372374
2010-12-08,-3.068164351328725
2010-12-09,7.877943747216419
2010-12-10,8.649747699615002
2010-12-13,28.868451898396696
2010-12-14,38.66582825325555
2010-12-15,20.212843898782445
2010-12-16,10.778329164681734
2010-12-17,21.971123395416637
2010-12-20,24.6079440586998
2010-12-21,31.071704368660033
2010-12-22,31.424438599198933
2010-12-23,32.78885263494149
2010-12-24,28.743273169134252
2010-12-27,24.97579960471002
2010-12-28,39.6923846259044
2010-12-29,53.12745923425842
2010-12-30,67.2762642899645
2010-12-31,66.65195145199648
2011-01-04,71.52281971454227
2011-01-05,61.03743130883414
2011-01-06,76.64630751417454
2011-01-07,49.49541786464754
2011-01-10,44.921384701772624
2011-01-11,45.88478093270478
2011-01-12,54.187087005811655
2011-01-13,63.14272285075621
2011-01-14,56.75986176828984
2011-01-17,59.26402109600269
2011-01-18,48.52512662793277
2011-01-19,61.25947897990233
2011-01-20,46.88280685055943
2011-01-21,33.797552927689715
2011-01-24,38.54379925153695
2011-01-25,7.952916713561519
2011-01-26,-4.644555028160092
2011-01-27,2.8073231847975566
2011-01-28,9.718338974919629
2011-01-31,27.68366777638248
2011-02-01,63.757795693553796
2011-02-09,65.93041675438887
2011-02-10,63.10221447640587
2011-02-11,58.52649712984806
2011-02-14,64.99794404039281
2011-02-15,69.63946316434804
2011-02-16,73.65013662244583
2011-02-17,79.86088381516471
2011-02-18,85.71043332059455
2011-02-21,100.21718321207666
2011-02-22,72.8046206543157
2011-02-23,49.20816972922634
2011-02-24,40.285394887808785
2011-02-25,39.47188912322501
2011-02-28,47.59641414901086
2011-03-01,46.040809797615836
2011-03-02,36.03487312642283
2011-03-03,37.73875807573526
2011-03-04,37.315680965023425
2011-03-07,21.331919564094413
2011-03-08,-23.0612253532954
2011-03-09,-18.590877429371176
2011-03-10,-51.64317193633408
2011-03-11,-47.308861919061556
2011-03-14,-40.79511717941045
2011-03-15,-35.682207695116794
2011-03-16,-36.73704203623529
2011-03-17,-55.22219269663094
2011-03-18,-33.77590138424815
2011-03-21,-47.093400400386486
2011-03-22,-48.89965411007211
2011-03-23,-21.398946255102135
2011-03-24,-14.472416631039362
2011-03-25,-17.80727305500793
2011-03-28,-30.939886420473645
2011-03-29,-41.854471481394334
2011-03-30,-38.429075732655676
2011-03-31,-50.067327414580596
2011-04-01,-51.70215253382136
2011-04-06,-33.35601663966751
2011-04-07,-28.793603163041134
2011-04-08,-18.574406184915436
2011-04-11,-8.202101227811472
2011-04-12,-25.894099982847546
2011-04-13,-38.887815896169364
2011-04-14,-46.03412299165732
