quantile_layer,min,max,count,avg_profit
0,-14.090056818181711,-0.9553451178451058,1431,-19.04460533270868
1,-0.9552905775621976,-0.7903001848161287,2862,-15.30381623032635
2,-0.790243902439017,-0.6016707920792059,7155,-15.14119297118645
3,-0.6016437448064048,-0.4491489788503884,10016,-9.358455755298806
4,-0.4491025641025656,-0.223198080198461,21464,-8.891245367698444
5,-0.223197492163006,0.0051608579088493,27657,-2.3699105760955086
6,0.0051666666666654,0.2480120387499106,28619,3.101249022797859
7,0.2480195177956357,0.4711114654725767,21464,8.704869168906079
8,0.4711309523809385,0.620690986698182,10016,12.86383822929526
9,0.6207074659141796,0.8126756281835593,7155,12.385702867138418
10,0.8127162629757841,0.9944433123238102,2862,10.767820829398223
11,0.9947811871227398,22.322222222221427,1431,5.685824631265065
