quantile_layer,min,max,count,avg_profit
0,-1.0,-0.5185972963829226,1258,-84.22574660006394
1,-0.5184558001920004,-0.4545454545454599,2516,-75.14888797340552
2,-0.4545454545454591,-0.3725490196078432,6288,-59.24690561185955
3,-0.372549019607843,-0.2902033271719028,8803,-48.12096132459179
4,-0.2901863428126278,-0.1555555555555396,18864,-30.92780738899755
5,-0.1555555555555267,-0.0028490028490039,25153,-11.891926230857575
6,-0.0028490028489988,0.1504424778761209,25153,10.19760718984681
7,0.1504679625629917,0.286585365853656,18864,31.96394663450438
8,0.2865853658536604,0.3687707641196013,8803,47.30566034799229
9,0.3687707641196044,0.4527956003666382,6289,62.0483506481755
10,0.4528301886792428,0.5194805194805171,2515,76.6298983400072
11,0.5195105567569628,1.0,1258,91.34053797693943
