quantile_layer,min,max,count,avg_profit
0,-0.9862979122683568,-0.610402133965482,1431,-110.58871016671311
1,-0.6103695866597789,-0.5073855515832129,2862,-88.41664198830796
2,-0.507312131122033,-0.3862206162389494,7155,-72.07302918927876
3,-0.3862083426267704,-0.287180967140383,10016,-51.56349253814289
4,-0.2871669887009349,-0.1437596111574181,21464,-34.54440786148044
5,-0.1437579282926076,-4.974573036278592e-07,27503,-11.717835097514042
6,1.2993314545259582e-05,0.1430267354750255,27488,10.713802447100917
7,0.1430312572080223,0.2842759338808923,21464,33.577591924771916
8,0.2842780678681452,0.3817949393293544,10016,53.622136571897535
9,0.3818075293767278,0.5034134134607788,7155,73.0720730836683
10,0.5034180363700964,0.6078478645694572,2862,95.10876079808045
11,0.6078833921768151,0.9803655154369424,1431,129.80404762126815
