quantile_layer,min,max,count,avg_profit
0,28.04952211313357,30.885171406692315,1182,-7.807874094698268
1,30.88889785430616,33.342721769393066,2362,2.360995068793128
2,33.34391617387878,37.33165912913843,5907,2.189537040841852
3,37.33166190604766,40.577797680493546,8269,1.1628381448552445
4,40.57793757611275,46.07106935173421,17719,0.8752281499214004
5,46.07132735284836,52.70143854125305,23626,-0.20156065191090172
6,52.70165898029564,60.0041559334321,23625,-1.3298579155836527
7,60.005344291559936,66.79168209967926,17719,-0.6584897141412093
8,66.79206817580615,71.12003871004953,8269,0.40403167499792153
9,71.12127122051528,75.99813144902741,5907,0.5363953372869176
10,76.00464118302675,81.40278321981685,2362,-0.42879994886592354
11,81.40387734041036,100.0,1182,6.713215334380911
